[0.0 - 3.9] 昨天中国8家中央企业集中公布了增资计划,
[105.2 - 109.3] 而这就决定着银行能够承担多少贷款以及投资
[109.3 - 114.6] 最终决定能够去在多大程度上支撑实体经济的发展
[114.6 - 118.6] 做个假设如果一家银行的核心一级资本是100亿
[118.6 - 120.2] 在监管的约束下
[120.2 - 123.0] 它能够配置大概1000亿左右的风险资产
[123.0 - 126.9] 那么资本增加10亿就有可能释放数10亿
[126.9 - 129.6] 甚至上百亿的风险资产空间
[129.6 - 132.6] 所以资本金不是简单的放在账上的现金
[132.6 - 136.1] 更像是融资能力的发动机那个排量
[136.1 - 139.3] 好 那在当下我们银行净息差
[139.3 - 141.7] 平均大概是1.4%
[141.7 - 145.8] 那主要来源第一贷款利率之前是有所下降的
[145.8 - 149.0] 第二存款利率是有一定的刚性的
[149.0 - 151.9] 第三就是有效信贷并不是非常的充分
[151.9 - 156.0] 所以这几点就共同挤压了银行当前的利润空间
[156.0 - 157.9] 所以现在就有一种现象
[157.9 - 160.0] 经济需要银行多放贷
[160.0 - 163.1] 但银行多放贷却并不意味着
[163.1 - 164.9] 它的利润是越来越多的
[164.9 - 167.3] 尤其像大型国有银行还承担着
[167.3 - 170.8] 政策性 普惠性 长期性融资的重要任务
[170.8 - 174.3] 所以补充资本其实在一定程度上是希望解决
[174.8 - 177.9] 这边要让银行承担更多的金融功能
[177.9 - 180.2] 而它和自身资本回报率
[180.2 - 183.0] 以及利润承压之间的这个矛盾
[183.0 - 185.5] 与此同时我们知道当下我们经济的结构
[185.7 - 187.5] 一方面出口非常强劲
[187.5 - 190.3] 那制造业尤其是高新技术制造业
[190.5 - 191.3] 发展的非常快
[191.3 - 192.3] 而且很有韧性
[192.3 - 195.0] 但对于像房地产部分传统投资
[195.0 - 196.7] 以及内需还是偏弱的
[196.7 - 199.2] 那这些新产业其实也就意味着
[199.2 - 201.2] 时间可能需要的更长一些
[201.2 - 203.2] 风险也会更高一些
[203.2 - 206.0] 但当下的利润率并不一定非常高
[206.0 - 209.3] 所以国家需要提前给这些重要的金融机构
[209.3 - 212.4] 补充资本进行预案或者是说缓冲
[212.4 - 215.8] 好 那我们来说说这次集中增资计划的重点目的
[215.8 - 217.3] 首先也是最直接的
[217.3 - 220.1] 就是增加金融机构的抗风险能力
[220.1 - 222.9] 那这在官方的重点表述中
[222.9 - 224.2] 都是明确提及的
[224.2 - 227.9] 当前我们的金融体系整体是健康以及文件的
[227.9 - 230.4] 不过必须要考虑到像房地产
[230.4 - 231.1] 地方债
[231.1 - 232.3] 中小企业经营
[232.3 - 234.9] 两相关领域还是存在着一定的潜在风险的
[234.9 - 237.8] 尤其是在当下以及接下来国际经济
[237.8 - 238.4] 金融
[238.4 - 239.0] 地缘
[239.0 - 240.4] 不确定不稳定
[240.4 - 243.0] 难预料因素越来越多的大北京下
[243.0 - 244.5] 那核心一级资本的增加
[244.5 - 246.6] 其实也就意味着这些银行
[246.6 - 248.3] 以及保险公司
[248.3 - 250.2] 他们的安全垫更加厚了
[250.2 - 252.4] 也就是说如果由于一些因素
[252.4 - 254.8] 使得银行的不良资产上升的话
[254.8 - 256.9] 那么它有更厚的资本
[256.9 - 258.3] 可以来吸收损失
[258.3 - 260.8] 所以可以理解为这是一种前瞻式的
[260.8 - 263.3] 或者是说未雨绸缪式的资本补充
[263.3 - 263.5] 好
[263.5 - 265.4] 那第二个目的就是释放金融机构
[265.4 - 267.3] 进一步的信贷扩张的能力
[267.3 - 269.1] 那就像我们前面跟大家解释的
[269.1 - 270.5] 3000亿的特别国债
[270.5 - 272.6] 并不是等于3000亿的贷款
[272.6 - 274.7] 那它是可以通过银行的资产负债表
[274.7 - 276.9] 形成更大的金融支持能力的
[276.9 - 278.6] 当然这里也必须要客观的看
[278.6 - 281.3] 资本补充可以增加放贷能力
[281.3 - 285.2] 但并不等于一定能够转换成新增贷款
[285.2 - 289.4] 因为最终还是要取决于像企业有没有融资的需求
[289.4 - 291.4] 项目有没有更好的投资回报
[291.4 - 294.1] 银行是不是愿意去承担更大的风险
[294.1 - 298.4] 以及像房地产消费是不是可以有进一步的显著复苏
[298.4 - 299.5] 好 那第三个目的
[299.5 - 302.0] 其实就是希望这些大型的金融机构
[302.0 - 304.7] 能够去承担更多的逆周期的功能
[304.7 - 308.2] 那大型的这些国有银行不能像普通的商业银行一样
[308.2 - 310.7] 当经济有一定的压力的时候
[310.7 - 313.6] 国家希望他们该放贷的还要继续放贷
[313.6 - 314.8] 该支持实体经济的
[314.8 - 319.2] 尤其是国家希望能够加速去推进发展的这些重点经济的
[319.2 - 320.7] 也要加速去支持
[320.7 - 324.1] 所以补充资本其实是要让这些大型的金融机构
[324.1 - 326.1] 既要去承担社会责任
[326.1 - 329.6] 又不能把自身的资本安全耗的太薄
[329.6 - 331.3] 好 第四也是特别值得注意的
[331.3 - 335.6] 就是我们看到保险公司是第一次大规模的纳入
[335.6 - 339.4] 中央财政去重点补充资本的框架
[339.4 - 343.6] 我们知道保险公司是非常重要的长期资本的提供者
[343.6 - 348.1] 它具有期限长资金规模大以及稳定性比较高的特点
[348.1 - 350.0] 那增强保险公司的资本实力
[350.0 - 354.8] 其实也就是希望能够去提高长期资金的运用能力
[354.8 - 356.9] 那这其实就意味着未来长期资金
[356.9 - 359.6] 再进入到像股债基础设施
[359.6 - 363.3] 以及战略产业等领域的可能性是在增加的
[363.3 - 364.7] 那刚才我们前面说了
[364.7 - 368.6] 银行面对的比较现实的压力其实是近息差
[368.6 - 370.1] 而对于保险公司来说
[370.1 - 372.0] 在低利率的大环境下
[372.0 - 375.8] 它的长期资产配置的压力其实也是在提高的
[375.8 - 379.8] 所以把保险机构也纳入这一次的资本补充的范围
[379.8 - 383.2] 可以看出政策开始更加注重整个的金融体系
[383.2 - 385.0] 而不只是对银行
[385.0 - 386.8] 好 最后我们整体总结一下
[386.8 - 390.8] 这一次对于8家中央金融机构集体增资
[390.8 - 394.4] 在我理解其实是给金融体系加杠杆空间
[394.4 - 395.4] 加安全垫
[395.4 - 398.4] 让整个金融体系更加有能力的去承担
[398.4 - 400.0] 一方面经济增长
[400.0 - 403.0] 另外一方面经济结构转换的重要任务
[403.0 - 404.8] 通过特别国债加市场化定增
[404.8 - 408.1] 其实是实现了财政资金和社会资本的结合
[408.1 - 410.4] 那这一次的政策真正值得关注的
[410.4 - 412.7] 不仅是那3600亿本身
[412.7 - 414.6] 而是它能不能成为财政
[414.6 - 418.7] 金融实体经济传到链条中的一个重要支点
[418.7 - 421.1] 那我们可以看到从解决房地产
[421.1 - 424.5] 地方债到解决大型银行的资本约束
[424.5 - 427.5] 再到从银行扩展到整个金融体系
[427.5 - 430.2] 那政策的逻辑正在从处理风险
[430.2 - 431.9] 逐步转向增强金融体系
[431.9 - 433.6] 在当下以及接下来
[433.6 - 435.6] 服务我们经济转型的能力
