[0.0 - 3.1] 这两天美国财政部长贝森特有几个很直白的发言,
[138.3 - 138.5] 好
[138.5 - 140.6] 那这块说到国际原油是什么意思
[141.2 - 143.0] 在前段时间我们可以看出
[143.0 - 145.1] 当国际原油价格上涨的话
[145.1 - 147.4] 那日元汇率一下就成压了
[147.4 - 151.5] 因为毕竟日本是一个能源原材料的超级进口国
[151.5 - 154.5] 而这几天国际原油价格快速上涨
[154.5 - 158.7] 并没有使得日元汇率也随之快速反弹
[158.7 - 161.7] 那这样的结果其实也从一方面反映出
[161.7 - 164.8] 日元汇率的空头头寸是在减少的
[164.8 - 167.5] 或者是说他们有一部分是在平仓的
[167.5 - 169.9] 另外就是我们前面的视频也跟大家分享过
[169.9 - 171.7] 日本央行的相关官员
[171.7 - 173.1] 在最近这段时间
[173.1 - 175.6] 其实也是不断的在铺垫
[175.6 - 179.0] 下周有可能的日元加息的预期
[179.0 - 181.2] 所以一方面贝森特比较强势的言论
[181.2 - 184.5] 另外一方面日本央行相关官员的一定的暗示
[184.5 - 186.8] 让市场现在对于接下来
[186.8 - 189.2] 不管是日本央行的加息
[189.2 - 192.3] 还是日元汇率有可能要进一步走强
[192.3 - 194.7] 是选择阶段性的相信的
[194.7 - 196.9] 当然在这儿确实会有一个小风险
[196.9 - 198.2] 虽然概率比较低
[198.2 - 201.8] 如果日本央行下个星期没加息
[201.8 - 206.4] 也就是它只是在前段时间用的是口头加息的路径
[206.4 - 209.8] 那么日元汇率接下来就要面对一个很剧烈的震荡了
[209.8 - 212.4] 好到这我们不能只看日元汇率
[212.4 - 215.6] 昨天欧洲央行又进一步的加息了
[215.6 - 220.0] 而且不排除接下来有可能会再进一步的加息
[220.0 - 224.2] 好除此之外韩国在7月8月也都连续加息了
[224.2 - 228.0] 从市场来看接下来不排除会再继续加息
[228.0 - 230.8] 所以现在我们看到的是欧洲日本韩国
[230.8 - 232.6] 以及其他的一些西方经济体
[232.6 - 235.1] 接下来的思路都是加息
[235.1 - 240.4] 而这对于一些在接下来需要去降息的经济体
[240.4 - 242.3] 就会形成进一步的压力了
[242.3 - 244.3] 因为加息会使得利差扩大
[244.3 - 247.2] 那么这就会使得资金进一步的外流
[247.2 - 248.5] 所以维持高利率
[248.5 - 251.4] 当然一方面会增加偿债的成本
[251.4 - 253.3] 但另外一方面也要看到
[253.3 - 255.3] 其实是在吸引资金的流入
[255.3 - 256.8] 所以对于美国来说
[256.8 - 258.6] 如果他想降息
[258.6 - 261.1] 那么他很清楚钱就会出去
[261.1 - 262.6] 那钱流向哪
[262.6 - 264.4] 对于他来说是非常重要的
[264.4 - 266.6] 如果一些他的相关盟友
[266.6 - 268.3] 可以提升利率的话
[268.3 - 269.9] 那么对于他来说
[269.9 - 273.3] 就可以尽可能的去降低这些资金
[273.3 - 276.5] 流向一些他不希望流向的国家和地区
[276.5 - 278.3] 好 到这我们先按一个暂停键
[278.3 - 280.3] 先看贝森特的第二个言论
[280.3 - 283.1] 他说美国的AI一旦被中国反超了
[283.1 - 284.8] 或者是说输给了中国
[284.8 - 286.4] 那么一切就白搭了
[286.4 - 289.6] 白搭的意思就是其他做什么都不重要了
[289.6 - 290.5] 也都没有意义了
[290.7 - 293.8] 他的发言其实是在一个经济状况政策
[293.8 - 294.6] 讨论会上的
[294.9 - 298.3] 他说这个话其实是想直接去点那些科技企业
[298.3 - 301.0] 由于他们跟各个地方的社区沟通的不好
[301.0 - 303.9] 所以有不少地方对于数据中心建设
[303.9 - 304.8] 是颇有微词的
[304.8 - 306.5] 甚至有些地方都给叫停了
[306.5 - 309.5] 所以他用了一个非常严肃也很重的表述
[309.5 - 311.1] 希望引起大家的重视
[311.1 - 313.2] 但在我来看这应该是他的心理话
[313.2 - 315.2] 不管是卧室还是贝森特
[315.2 - 317.6] 对于美国接下来的进一步的发展
[317.6 - 320.0] 或者是说用他们说的经济繁荣
[320.0 - 322.8] 很重要的一个支撑就是AI的发展
[322.8 - 324.1] 好 那主要是以下几点
[324.1 - 325.7] 第一就是对于美国来说
[325.7 - 328.2] 它必须要让全球更多的投资者认为
[328.2 - 331.4] 美国才是当下以及接下来AI发展的
[331.4 - 332.3] 那个引领者
[332.3 - 334.3] 以及能够一直保持引领
[334.3 - 335.9] 这样才能让全球更多的资金
[335.9 - 337.8] 流入美国以及留在美国
[337.8 - 339.8] 当然一方面是美股
[339.8 - 340.8] 也就是资本市场
[340.8 - 343.8] 另外一方面还包括这些科技企业
[343.8 - 345.2] 所发的那些企业债
[345.2 - 345.6] 第二
[345.6 - 347.6] 未来AI真正的争夺
[347.6 - 349.1] 其实是基础
[349.1 - 350.2] 是标准
[350.2 - 351.0] 是生态
[351.0 - 352.2] 所以现在我们看到
[352.2 - 354.5] 比如说像英伟达的库达生态
[354.5 - 356.5] 还有包括像SpaceX
[356.5 - 357.6] 包括Starlink
[357.6 - 359.7] 在全球更多的国家
[359.7 - 360.9] 去推进推广
[360.9 - 362.7] 那另外一方面就是大家看到的
[362.7 - 365.0] 不管是外政府还是特政府
[365.0 - 367.2] 不管是去年还是今年
[367.2 - 369.2] 尤其是这几个月以来
[369.2 - 371.1] 美国相关的政府部门
[371.1 - 372.6] 对于我们的科技企业
[372.6 - 375.8] 加速的限制排斥政治抹黑
[375.8 - 377.7] 那第三其实是更重要的
[377.7 - 379.8] 就是我们在前一条视频里
[379.8 - 382.8] 又跟大家稍微详细的解读了一下
[382.8 - 384.8] 我们之前就跟大家分享过的
[384.8 - 386.4] 关于美元体系2.0
[386.4 - 389.2] 它要去给美元去扩展它的毛
[389.2 - 391.7] 那四个要素第一美元本身
[391.7 - 394.8] 第二石油以及其他的一些关键能源
[394.8 - 397.3] 第三就是AI芯片半导体
[397.3 - 399.4] 第四加米货币以及稳定币
[399.4 - 401.5] 那其他三方面必须要说
[401.5 - 403.9] 美国还是有着比较明显的优势的
[403.9 - 406.6] 因为那三个要素到目前为止
[406.6 - 410.5] 主要还都是在整个的美元体系中
[410.5 - 413.7] 而AIA这件事情相对于其他三个要素来说
[413.7 - 416.6] 确实是可以让它的战略竞争对手
[416.6 - 419.7] 有更多的机会和空间去超越它的
[419.7 - 421.1] 之前就跟大家分享
[421.1 - 423.1] 整个特的这个团队里
[423.1 - 427.4] 贝森特的话是我们需要多认真的去理解一下的
[427.4 - 431.0] 首先特是一个今天说明天改
[431.0 - 433.2] 十句里头八句可能都是假的
[433.2 - 436.0] 需要我们不断的去筛选验证的
[436.0 - 437.8] 那他其他的几个左膀右臂
[437.8 - 440.1] 有些以前是有政客的经历的
[440.1 - 442.9] 有些以前是在媒体干过的
[442.9 - 446.1] 那有些是在不断的学习怎么当政客的
[446.6 - 449.2] 但贝森特是一个比较难
[449.2 - 452.5] 完全让自己用政客的语言
[452.5 - 454.1] 去表述相关内容的
[454.1 - 455.8] 因为他是一个时操派
[455.8 - 459.6] 他是一直在华尔街去做对冲基金
[459.6 - 460.6] 去赚钱的那个人
[460.6 - 464.0] 當然現在的貝森特跟一年前相比確實圓滑了一些
[464.0 - 468.6] 但他還是那個能夠表達出來一些比較真實想法的人
[468.6 - 472.0] 我們幫大家回顧一下貝森特一些非常直接的言論
[472.0 - 476.2] 去年他說美國需要的是強勢美元
[476.2 - 478.8] 那他當時站出來很直接的表達這個言論
[478.8 - 480.8] 很重要的原因就是之前一段時間
[480.8 - 485.0] 特時不時的就站出來跟全世界說我要弱美元
[485.0 - 488.7] 特不是一個專業的貨幣政策和財政政策的專家
[488.7 - 491.2] 他的表述其实只是想说
[491.2 - 493.4] 我需要让美元贬值
[493.4 - 496.7] 我要尽可能的要对我的出口有利
[496.7 - 499.5] 我不能让一些国家老占我的便宜
[499.5 - 501.0] 他脑子里是这么想的
[501.0 - 503.5] 但他的这个表述会让市场理解
[503.5 - 506.2] 接下来美元越来越不值钱
[506.2 - 508.2] 以及越来越不值得拥有
[508.2 - 510.1] 所以对于贝森特来说
[510.1 - 511.6] 就必须站出来纠正
[511.6 - 513.8] 而且我相信贝森特应该是
[513.8 - 515.4] 给特上过几节课的
[515.4 - 516.5] 所以之后
[516.5 - 520.8] 就再也没有所谓的弱美元的这种表述了
[520.8 - 523.3] 反而他开始说我要求美元强势
[523.3 - 525.7] 所以这也是我们后面跟大家说的
[525.7 - 529.9] 贝森特其实要推进的是弱美元但强势美元
[529.9 - 534.1] 也就是说未来美元可以推进贬值
[534.1 - 536.4] 但美元的强势
[536.4 - 540.4] 美元依旧是全球很多国家的储备货币
[540.4 - 542.6] 交易货币 结算货币
[542.6 - 544.1] 那个地位是不能变的
[544.1 - 547.0] 以及它的流动性是要最强的
[547.0 - 549.1] 好 那在这我们就要回到前面的
[549.1 - 550.8] 第一个贝森特的言论
[550.8 - 553.4] 他说我拥有不对称的信息
[553.4 - 555.0] 说实话其实我们都知道
[555.0 - 559.5] 因为整个世界主体是在美元的体系中
[559.5 - 561.9] 不管是Swift系统
[561.9 - 565.8] chips还是其他的相关交易媒介
[565.8 - 568.5] 主要都是美元计价美元结算
[568.5 - 571.4] 所以他们可以看到庞大的资金流向
[571.4 - 574.7] 我说的庞大是远远超于我们想象的庞大
[575.3 - 576.3] 我一点都不意外
[576.3 - 579.5] 但是确实没有想到他这次会这么直接的
[579.5 - 580.3] 跟大家表明
[581.5 - 582.8] 他说他是庄家
[582.9 - 585.9] 说实话我不觉得他只是庄家
[586.1 - 588.9] 而他是可以看对方底牌的人
[588.9 - 590.5] 当然不是说所有的底牌
[590.5 - 593.2] 当然我们主要指的是数据流动性这一块
[593.3 - 594.2] 他都能看到
[594.3 - 596.5] 但应该有不小比例的底牌
[596.5 - 597.8] 所以当我回顾
[597.9 - 599.5] 不管是美元指数
[599.5 - 601.8] 黄金 瑞奥汇率 美债
[601.8 - 605.1] 以及国际援邮价格等一些重要指标
[605.1 - 606.9] 变化 走势
[606.9 - 608.5] 我就总有一种感觉
[608.5 - 611.9] 他们正在通过一方面看底牌
[611.9 - 615.6] 一方面能够掌握巨量的资金流动
[615.6 - 618.3] 一方面在和各种对手盘做激烈的博弈
[618.3 - 621.7] 而另外一方面也在不断的调整参数 系数
[621.7 - 623.6] 基于我们之前跟大家分享过的
[623.6 - 625.8] 像弱美元但强势美元的逻辑
[625.8 - 629.4] 以及美元 黄金 比特币三者之间的
[629.4 - 630.7] 流动的蓄水池落
[630.7 - 633.7] 以及这场中东事件活生生的把黄金从
[633.7 - 636.7] 避险资产弄成现在的风险资产
[636.7 - 638.9] 对黄金一直在压制
[638.9 - 642.0] 让它只能成为那个阶段性的调节器
[642.0 - 643.2] 当然在这个过程中
[643.2 - 645.0] 还有很重要的一部分角色
[645.0 - 647.0] 是由美国的这些金融媒体
[647.0 - 649.0] 金融机构所配合完成的
[649.0 - 650.2] 想抬高哪个
[650.2 - 652.4] 站出来一堆声音唱多
[652.4 - 653.8] 想要打压哪个
[653.8 - 655.8] 又站出来一堆声音唱空
[655.8 - 657.3] 说完似乎也不认账
[657.3 - 658.9] 改口比翻书还快
[658.9 - 660.9] 那只要目的达成就行了
[660.9 - 663.2] 所以在这其实也就看到预期管理
[663.2 - 665.7] 在整个金融活动中的重要性
[665.7 - 668.6] 它从某种程度上就是话语权
[668.6 - 669.6] 就是影响力
[669.6 - 672.3] 那有些朋友说会不会某个东西说多了
[672.3 - 673.6] 就像狼来的游戏
[673.6 - 674.7] 大家就不相信了
[674.7 - 677.9] 那这就是我们前个视频跟大家分享的
[677.9 - 680.9] 我们很多朋友去思考一个金融问题的时候
[680.9 - 682.4] 总是从自己的角度出发
[682.4 - 683.7] 比如说我觉得
[683.7 - 685.0] 我认为我不信了
[685.0 - 687.4] 那你需要去理解的是
[687.4 - 690.5] 市場怎麼認為市場相不相信
[690.5 - 694.0] 以及市場需不需要在這個時候相信
[694.0 - 695.9] 因為市場是要賺錢的
[695.9 - 698.0] 好 說完以上我們整體總結一下
[698.0 - 703.2] 第一 現在美國是不是正在以犧牲全球的經濟
[703.2 - 705.8] 或者是說一部分的經濟為代價
[705.8 - 707.7] 在推進它的相關目的呢
[707.7 - 709.6] 其他方面我們先不予置評
[709.6 - 712.0] 但在石油方面應該是如此的
[712.0 - 713.0] 沙特最新的報告
[713.0 - 715.3] 上個月它的原油產量已經降到
[715.3 - 717.6] 1990年以來的最低水平了
[717.6 - 720.5] 那現在日產量每天大概620萬桶
[720.5 - 724.0] 第二 卡塔爾一個供應全球五分之一
[724.0 - 725.6] 液化天然氣的國家
[725.6 - 729.9] 現在竟然準備去跟美國買液化天然氣
[729.9 - 732.4] 而我們看看美國的原油產量呢
[732.4 - 736.5] 最先每天已經將近1400萬桶了
[736.5 - 738.1] 全球遙遙領先
[738.1 - 740.5] 那到這大家還記不記得前段時間
[740.5 - 744.6] 不管是貝森特還是他們的能源部長都說過
[744.6 - 747.0] 未來的一兩年之後
[747.0 - 752.0] 霍爾木斯海峽的在能源方面的影響力會大大下降
[752.0 - 754.4] 所以一方面拿韋德油
[754.4 - 756.9] 當然他還想在未來拿伊德油
[756.9 - 759.9] 另外一方面逐漸瓦解歐佩克組織
[759.9 - 763.2] 第三讓全球更多的國家現在已經開始了
[763.2 - 767.6] 像歐洲日本韓國等等去找美國去買原油
[767.6 - 770.4] 那他要推進的就是對於全球原油市場
[770.4 - 771.7] 進一步的掌控
[771.7 - 775.5] 之前特说过当尾的石油他们可以用
[775.5 - 778.4] 并且会越来越多的获得的话
[778.4 - 780.7] 到那个时候美国国内的能源价格
[780.7 - 784.6] 是可以不受国际能源价格的影响的
[784.6 - 786.5] 这个野心是非常大的
[786.5 - 787.7] 如果真到了那一天
[787.7 - 791.8] 那么它真的有可能用国际原油去做武器的
[791.8 - 794.3] 虽然这两天特说中期选举之后
[794.3 - 796.3] 中东这个事马上就结束
[796.3 - 798.1] 那我是画一个大大的问号
[798.1 - 800.6] 一方面美伊没有任何信任可言
[800.6 - 804.4] 一方面现在都这个时候了战事却是在升级的
[804.4 - 808.2] 第三对于我们前面说的全球能源格局重塑这件事情
[808.2 - 810.0] 他是一定要完成的话
[810.0 - 813.2] 中东这个事他是肯定不能草草收场的
[813.2 - 815.6] 所以他说中期选举之后马上就结束
[815.6 - 819.0] 在我理解这就是对于当前选民的一种安抚
[819.0 - 822.7] 以及国际援邮价格现在由于战事升级
[822.7 - 825.6] 短时间压不下来的某种安抚
[825.6 - 827.9] 另外不管是内塔还是贝森特
[827.9 - 831.0] 其实在近期都很直接的表明过
[831.0 - 834.5] 接下来对于一政权要改变这件事情的态度
[834.5 - 836.3] 而美国所引发的中东战争
[836.3 - 838.5] 从3月份到现在
[838.5 - 840.8] 其实没有真正的解决
[840.8 - 843.0] 我也在想他是真的想解决吗
[843.0 - 844.2] 画个问号吧
[844.2 - 846.1] 但现在看到的结果就是
[846.1 - 848.8] 国际能源价格在不断的上升
[848.8 - 850.3] 而谁在买单呢
[850.3 - 853.7] 就是国际原油的这些重要进口国们
[853.7 - 855.7] 第二我们回到贝森特的言论
[855.7 - 856.8] 在金融端
[856.8 - 860.5] 它其实是把日元看作对于美债
[860.5 - 864.0] 美股 美元一个重要的前置互成和
[864.0 - 867.7] 而在企业端它其实是把AI作为美股
[867.7 - 872.2] 美债以及这些科技企业债的未来贴线引擎
[872.2 - 876.3] 而在地缘端它把要遏制我们AI崛起
[876.3 - 881.0] 以及快速发展去看作维持美国资产风险
[881.0 - 882.9] 议价的必要前提
[882.9 - 884.9] 如果把这几个言论结合在一起
[884.9 - 887.4] 在我理解 未來美國的財政政策
[887.4 - 890.8] 會更加的市場化 戰術化以及進攻化
[890.8 - 894.4] 與此同時 會和美聯儲有更多的配合
[894.4 - 896.6] 而對於中美AI的競爭
[896.6 - 900.2] 其實也就會超越單純的技術攻防了
[900.2 - 903.6] 它會全面升級為對於資本市場的估值體系
[903.6 - 905.2] 國家債務的承載力
[905.2 - 908.7] 以及對全球資金流動性 影響力
[908.7 - 910.5] 話語權的全面博弈
