[0.0 - 5.0] 今天我们国家统计局公布了8月份一些比较重要的经济数据指标。
[216.8 - 219.3] 1到8月份房地产开发投资
[219.3 - 221.5] 同比下降19.9%
[221.5 - 223.0] 降幅也是有所扩大的
[223.0 - 224.2] 其中住宅部分
[224.2 - 226.2] 同比下降19.7%
[226.2 - 228.2] 降幅也是有所扩大的
[228.2 - 230.2] 另外1到8月份房地产企业
[230.2 - 232.2] 资金开发到位情况
[232.2 - 234.2] 同比下降21.5%
[234.2 - 235.2] 降幅也是有所扩大的
[235.2 - 237.2] 这其实也反映出当前
[237.2 - 239.2] 这些房地产企业资金压力还是比较大的
[239.2 - 241.2] 好 那今天也公布了
[241.2 - 243.2] 8月份70个主要城市
[243.2 - 244.2] 房价的情况
[244.2 - 246.2] 那我们看一下比较有参考代表性的
[246.2 - 248.2] 二手房同比情况
[248.2 - 250.2] 一线 二线 三线城市
[250.2 - 252.2] 同比依旧是在下降中的
[252.2 - 254.6] 注意的是降幅都是在收窄的
[254.6 - 257.7] 尤其是一线城市降幅收窄
[257.7 - 260.0] 比例都在1个百分点左右
[260.0 - 262.8] 那这其实也是一个相对来说比较积极的信号
[262.8 - 266.0] 接下来几个月我们也可以持续去关注这个数据
[266.0 - 267.4] 好 那既然说到消费
[267.4 - 270.2] 我们在这跟大家稍微再补充一下
[270.2 - 273.6] 昨天央行公布的涉容相关数据的情况
[273.6 - 275.8] 首先8月份整个月
[275.8 - 278.2] 我们的人民币贷款增长了600亿
[278.2 - 279.9] 跟去年同期相比
[279.9 - 281.8] 少增长了5300亿
[281.8 - 284.4] 住户端也就是我们百姓这一端
[284.6 - 288.0] 短期贷款和中长期贷款都是在减少的
[288.0 - 290.0] 而且跟去年同期相比
[290.1 - 292.0] 都是有更进一步的减少的
[292.0 - 294.4] 这其实反映出大家在日常的消费
[294.4 - 296.1] 以及在购房方面的意愿
[296.1 - 297.3] 并不是十分的强烈
[297.4 - 299.4] 另外就是在提前还贷
[299.5 - 301.5] 也就是在进一步的降杠杆
[301.7 - 303.7] 这个和我们前面跟大家分享的
[303.7 - 307.2] 关于8月份设定数据增速放缓
[307.2 - 308.5] 其实也是比较吻合的
[308.5 - 311.2] 另外8月份居民端的存款
[311.2 - 312.6] 增长了400亿
[312.6 - 315.6] 跟去年同期相比少增长了700亿
[315.6 - 320.0] 而非银金融机构的存款增长了5600亿
[320.0 - 323.5] 跟去年同期相比少增长了6200亿
[323.5 - 327.5] 那8月居民端存款增长部分的减少
[327.5 - 331.4] 一方面是受居民自身相关收入的影响
[331.4 - 334.9] 那另外一方面也有我们前面说的提前还贷
[334.9 - 336.7] 去主动降杠杆的影响
[336.7 - 340.6] 那非银金融机构这一部分存款增幅的减少
[340.6 - 344.6] 一方面其实反映出居民对于存款搬家
[344.6 - 348.3] 也就是把钱从银行搬到比如说股市啊
[348.3 - 349.2] 理财啊
[349.2 - 352.4] 意愿跟去年同期相比是有所下降的
[352.4 - 355.5] 那这其实也反映出一部分居民的风险偏好
[355.5 - 356.8] 是有所收敛的
[356.8 - 359.8] 好 接下来第二大部分我们来看看投资部分
[359.8 - 363.8] 1到8月份固定资产投资同比下降7.2%
[363.8 - 366.6] 跟前值相比也是降幅有所扩大的
[366.6 - 367.9] 那刚才我们前面说了
[367.9 - 372.2] 1到8月份房地产开发投资是下降了19.9%的
[372.2 - 376.9] 所以也就意味着其实整个1到8月份固定资产投资
[376.9 - 380.6] 下降影响主要因素还是房地产行业
[380.6 - 381.3] 我们再看看
[381.3 - 385.3] 像高新技术产业投资同比增长5.2%
[385.3 - 386.8] 其中信息服务业
[386.8 - 389.6] 航空航天器及设备制造业
[389.6 - 391.5] 电子及通信设备制造业
[391.5 - 396.7] 增幅分别为22.7% 14.9%以及6.9%
[396.7 - 399.9] 那这其实就反映出资金在更进一步的加快
[399.9 - 403.1] 对于新兴产业以及未来产业的投资布局
[403.1 - 405.5] 好那在这我们也跟大家补充分享一下
[405.7 - 408.4] 关于8月份一些重点商品的出口情况
[408.4 - 412.0] 机电产品出口金额同比增长将近33%
[412.2 - 416.3] 像集成电路出口金额同比大幅增长130%
[416.8 - 420.5] 另外高新产品出口金额同比增长57%
[420.5 - 424.5] 那这其实就是很直接的受益于全球AI基础设施投资提速
[424.5 - 428.3] 所带动的向半导体先进电子产品的需求
[428.3 - 430.0] 那芯片价格持续增长
[430.0 - 432.8] 其实也是出口强劲的核心驱动力
[432.8 - 435.2] 那这其实也反映出我们155规划
[435.2 - 438.1] 强调的算力基建正在进一步的加速
[438.1 - 439.2] 那在进口端
[439.2 - 442.9] 像集成电路同比增长将近84%
[442.9 - 446.2] 高芯技术产品同比增长将近69%
[446.2 - 448.4] 这其实就是在AI算力的浪潮下
[448.4 - 450.1] 拉动对高端芯片
[450.1 - 452.2] 以及半导体制造设备的需求
[452.2 - 453.5] 形成并加速发展
[453.5 - 455.5] 我们在高新技术产业方面
[455.5 - 458.2] 在产业链供应链上的突出优势
[458.2 - 459.8] 那今天国家统计局公布的
[459.8 - 462.8] 关于8月份规模以上企业增加值
[462.8 - 467.3] 其中高技术制造业同比快速增长16.7%
[467.3 - 469.1] 其实也就反映了这一点
[469.1 - 470.1] 好那说完以上
[470.1 - 471.1] 我们整体总结一下
[471.1 - 472.6] 首先在消费方面
[472.6 - 474.5] 还是有比较现实的压力的
[474.5 - 476.6] 那我们刚才前面说了
[476.6 - 479.5] 社零的增速8月份是0.4%
[479.5 - 483.1] 那1到8月份社零是同比增长1.1%
[483.1 - 487.8] 不过如果我们把服务的零售也加入进来的话
[487.8 - 490.7] 整体是同比增长2.5%
[490.7 - 493.5] 所以这其实反映着在服务方面的消费
[493.5 - 496.2] 跟去年同期相比的话是有所增长的
[496.2 - 499.5] 不过结合我们刚在前面跟大家分享的关于
[499.5 - 502.6] 住户端人民币贷款的相关数据
[502.6 - 503.8] 那在我理解的话
[503.8 - 506.1] 那今年大家在商品方面的消费意愿
[506.1 - 507.4] 其实并不是非常足
[507.4 - 510.8] 老粉丝知道我在去年10月 11月 12月的时候
[510.8 - 512.1] 当时就发过视频
[512.1 - 514.5] 就提出扩大内需刻不容缓
[514.5 - 516.1] 那其实主要基于两点
[516.1 - 518.4] 第一就是不确定不稳定
[518.4 - 520.9] 以及难预料的因素是会越来越多的
[520.9 - 524.8] 另外就是大家也看到外部的各种不利的影响
[524.8 - 526.0] 也是会不断加深的
[526.0 - 528.8] 那当接下来国际博弈越来越全面化
[528.8 - 530.0] 以及越来越直接
[530.3 - 533.1] 不排除是会影响到相关的出口的
[533.1 - 536.8] 而我们现在经济增长非常重要的一个支撑
[536.8 - 538.1] 其实就是在出口上
[538.1 - 540.0] 那如果出口受了影响
[540.0 - 543.6] 而内需方面还没有快速提升的话
[543.6 - 546.5] 就会对我们整体的经济形成进一步的压力
[546.5 - 549.0] 而当内需可以进一步的有效提振
[549.0 - 552.0] 也就是内循环可以更加顺畅地转起来
[552.0 - 554.1] 那即使外部的不利影响会加深
[554.1 - 557.3] 但我们内部还是可以有效的积极地去运转的
[557.3 - 560.8] 那这也就可以进一步的增强我们整体经济的韧性
[560.8 - 563.4] 那说回来消费方面的有效提振
[563.4 - 566.6] 在我来看还是要让大家在消费上
[566.6 - 568.4] 尽可能的没有后顾之忧
[568.4 - 575.0] 这其实就是需要对于大家在养老医疗教育等方面更多的保障
[575.0 - 577.4] 中国人有一个特点确实就是爱存钱
[577.4 - 582.5] 所以大家现在不管是预防性储蓄还是在进一步的降杠杆
[582.5 - 586.0] 其实都是对于心理的一些不确定性的反应
[586.0 - 589.8] 另外现在是处于心动能新基建快速发展
[589.8 - 593.4] 以及旧动能去泡沫的这个关键时期
[593.4 - 594.9] 我们也要很现实的看到
[594.9 - 598.7] 心动能的快速发展在一段时间是没有办法
[598.7 - 602.8] 完全去覆盖就动能的出清空隙的
[602.8 - 606.6] 这其实就是资本密集型VS劳动密集型
[606.8 - 610.7] 而劳动密集型在去产能在出清的过程中
[611.0 - 614.8] 所释放出来的一部分的劳动力可能会在一段
[614.8 - 618.8] 时间是没有办法找到更合适自己的工作岗位的
[618.8 - 620.9] 所以在AI快速发展的当下
[620.9 - 623.6] 对于这一部分劳动力相关的保障
[623.6 - 625.6] 在我来看是一个很重要的工作
[625.6 - 627.3] 与此同时值得我们注意的是
[627.3 - 631.2] 现在在AI芯片半导体方面快速推进发展的国家
[631.2 - 633.3] 像美国 日本 韩国等等
[633.3 - 635.2] 并没有放掉房地产的发展
[635.2 - 637.8] 所以在我理解当我们去思考或者讨论
[637.8 - 640.8] 新旧动能相关转换议题的时候
[640.8 - 644.6] 或许应该更好的去找到他们之间的平衡
[644.6 - 647.8] 第二 当前国际上其他的一些主要经济体
[647.8 - 650.3] 其实都是在加息的大环境下
[650.3 - 653.1] 那这其实对于我们在降息方面的空间
[653.1 - 654.2] 就会比以前小了
[654.2 - 658.0] 但其实现实是单纯的依靠金融端的降息
[658.0 - 659.5] 或者信贷供给
[659.5 - 662.6] 是比较难直接的去拉动消费
[662.6 - 664.3] 所以在后续更迫切的
[664.3 - 667.0] 还是需要财政政策的进一步发力
[667.0 - 669.2] 第三新兴产业和出口的高增长
[669.2 - 672.8] 表现我们在经济方面的竞争优势还是很强的
[672.8 - 674.9] 但消费和投资其实反映出
[674.9 - 676.5] 生产出来的这些东西
[676.5 - 679.4] 在国内的百姓和企业的购买力
[679.4 - 681.0] 不是能完全都接得住的
[681.0 - 686.2] 那比较现实的反应就是8月份我们的CPI是同比上涨0.8%
[686.2 - 690.4] 那虽然出厂PPI是同比上涨3.8%
[690.7 - 694.4] 但购进的PPI是同比上涨5.8%
[694.4 - 697.2] 也就是说更多其实是上游成本的推动
[697.4 - 699.9] 而终端需求其实并不旺盛
[699.9 - 702.9] 所以其实最核心的还是要促增收
[703.1 - 705.2] 实质性的提高居民收入
[705.2 - 707.4] 在国民分配中的重要比重
[707.4 - 709.3] 与此同时要优共挤
[709.3 - 711.6] 不管是日常的消费品
[711.6 - 714.2] 还是我们之前说的好房子
[714.2 - 717.9] 这样其实才能让老百姓既敢消费又愿意消费
