[0.0 - 3.5] 美联储昨天的议席会议加息了25个基点,
[249.8 - 253.5] 接下来最现实的其实就是那五大工作组
[253.5 - 257.0] 要推出相关的报告以及改革决策
[257.0 - 259.8] 我们不要忘了从卧室上来到现在
[259.8 - 263.7] 它很重要的一个思路就是以改革为导向推进工作
[263.7 - 266.0] 想改革那阻力是不言而喻的
[266.0 - 267.7] 如果我现在数不了微
[267.7 - 270.1] 后边的工作是非常难推进的
[270.1 - 272.4] 所以我得让这委员们服务
[272.4 - 274.8] 同时我也得让市场尊重我
[274.8 - 277.1] 不能拿我的话随便不当回事
[277.1 - 280.0] 好 那再接下来其实也在文字中跟大家分享过
[280.4 - 282.4] 这一次加息了那么很正常
[282.4 - 284.5] 市场就会继续去猜
[284.7 - 287.3] 下一次是会继续加息吗
[287.3 - 289.3] 还是会维持不变呢
[289.3 - 292.9] 是会选择逐步的连续加息呢
[292.9 - 296.1] 还是走看再走再看呢
[296.1 - 297.6] 而且他又一次的明确了
[297.6 - 299.2] 我不负责提供前瞻性指引
[299.4 - 301.7] 那么这其实也就意味着接下来
[301.7 - 304.2] 会进入到新一个阶段的预期管理
[304.2 - 307.0] 好 第七 再次提及人工智能的发展
[307.1 - 311.1] 那从这一点其实就能看出不管是特还是贝森特还是卧食
[311.1 - 312.7] 他们是有高度共识的
[312.7 - 315.8] 也就是说接下来要推进美国经济的发展繁荣
[315.8 - 318.0] 是必须要靠AI的发展的
[318.0 - 320.7] 那我们很清楚如果希望AI快速发展
[320.7 - 324.4] 其实对于美来说是需要一个相对低的利率环境的
[324.4 - 326.5] 那现在美联储加息了
[326.5 - 328.0] 那基准利率提高了
[328.0 - 331.7] 对于接下来这些企业科技企业们发债
[331.7 - 333.9] 那成本就更进一步的提升了
[333.9 - 335.0] 所以当前的加息
[335.0 - 337.5] 在我理解其实是阶段性的不得不
[337.5 - 339.6] 或者是说综合前面我们说的
[339.6 - 341.4] 各种利弊得出来的结论
[341.4 - 343.1] 而这也要为未来
[343.1 - 346.3] 不管是五个工作组相关的报告改革
[346.3 - 350.6] 或者是说去调相关的通胀计算方式
[350.6 - 353.2] 在做前期的准备工作
[353.2 - 356.3] 未来还是需要去进一步的降息的
[356.3 - 357.6] 那既然现在降不了息
[357.6 - 358.7] 通胀又这么有年性
[358.7 - 362.6] 那为什么不利用阶段性的一期会议去加息
[362.6 - 364.8] 先实现一些其他的目标呢
[364.8 - 365.9] 而且对于卧室来说
[365.9 - 367.1] 还可以在这个阶段
[367.1 - 368.9] 快速提升自己的公信力
[368.9 - 370.9] 以及对于市场的影响力
[371.2 - 372.6] 卧室在发言中还特别说
[372.6 - 374.4] 一致的投票结果展示了
[374.4 - 377.2] 我们对于价格稳定目标的决心
[377.4 - 379.0] 这句话其实就是想跟大家说
[379.1 - 380.3] 我是有影响力的
[380.3 - 382.3] 而且我们也是很团结的
[382.5 - 385.4] 以及我有能力管好这个团队
[385.4 - 386.4] 好 接下来第八
[386.4 - 389.3] 他说金融状况并不具有限制性
[389.3 - 391.9] 而且这一点是大家广泛的认同
[392.2 - 393.3] 这其实就是想表述
[393.3 - 396.3] 现在的利率政策并没有打压经济
[396.3 - 397.8] 而且这一次的加息
[397.8 - 399.7] 目的也不是要打压经济
[399.7 - 402.8] 只是撤走了一部分之前的宽松政策
[402.8 - 405.2] 这个表述就会让市场看来
[405.2 - 407.9] 接下来如果要进一步的加息的话
[407.9 - 409.0] 是有空间的
[409.0 - 410.1] 而前面我们说了
[410.1 - 411.3] 那卧实分享了
[411.3 - 413.3] 现在美国的经济还是不错的
[413.3 - 414.7] 就业市场也是不错的
[414.7 - 416.1] 所以如果美联储接下来
[416.1 - 418.4] 要进一步的去抗通胀的话
[418.4 - 420.6] 还是有可能有进一步的动作的
[420.6 - 421.3] 好 第九
[421.3 - 423.0] 我们知道美联储主要针对的是
[423.0 - 423.8] 货币政策
[423.8 - 425.2] 而在这次的发言中
[425.2 - 427.1] 沃什对于美债收益率
[427.1 - 428.4] 也做了相关的表述
[428.4 - 429.8] 他认为当前收益率上升
[429.8 - 430.4] 主要三个原因
[430.4 - 431.4] 第一经济强劲
[431.4 - 432.8] 第二资本竞争
[432.8 - 434.0] 第三地缘政治
[434.0 - 436.0] 那我们不去评价具体的这三点
[436.1 - 436.9] 我只想说
[436.9 - 438.6] 这其实就是非常直接的
[438.6 - 440.9] 在跟财政部长贝森特打配合
[440.9 - 441.3] 好
[441.3 - 443.2] 那大家想想这三点在短期
[443.2 - 445.2] 能有非常明显的改变吗
[445.2 - 446.0] 如果不能的话
[446.0 - 447.6] 其实就是要跟市场传达
[447.6 - 448.9] 接受高利率
[448.9 - 451.6] 是接下来一个阶段的新常态
[451.6 - 453.0] 也就是要告诉大家
[453.0 - 458.0] 收益率的上升不是簡單由於美聯儲的加息造成的
[458.0 - 461.3] 是有非常現實的因素在起作用的
[461.3 - 462.8] 好 說完以上我們整體總結一下
[462.8 - 464.9] 第一 當下美聯儲的加息
[464.9 - 466.8] 其實更深刻的反映出
[466.8 - 470.5] 中東戰爭在接下來的一段時間是結束不了的
[470.5 - 473.0] 而且不排除戰事擴大
[473.0 - 476.2] 甚至不排除中東戰爭和俄烏戰爭
[476.2 - 478.0] 有可能會進一步的連接
[478.0 - 480.1] 我們很清楚之前的這幾個月
[480.1 - 482.4] 油價有比現在還高的
[482.4 - 485.6] 但当时美联储是并没有选择加息的
[485.6 - 487.2] 是暂时维持利率不变
[487.2 - 489.7] 其实就是要进一步的去观察
[489.7 - 491.1] 如果战事很快结束了
[491.1 - 493.3] 那么国际援邮价格就会快速下降
[493.3 - 495.0] 对于美国内的通胀压力
[495.0 - 496.4] 就会非常大的缓和
[496.4 - 497.3] 而现在来看
[497.3 - 499.0] 虽然在阿曼侧
[499.0 - 501.8] 每天晚上还是有暗船出来的
[501.8 - 504.0] 还是有船对船的转运的
[504.0 - 505.4] 但现在战事万一了
[505.4 - 508.0] 尤其是沙特的管道运输
[508.0 - 509.4] 受到了非常直接的打击
[509.4 - 511.5] 如果接下来不管是曼德海峡
[511.5 - 514.1] 甚至鴻海會受到進一步的壓力的話
[514.1 - 517.0] 那麼國際原油價格很難再快速下降
[517.0 - 520.0] 那麼對於美國內的通脹壓力就會繼續再高位
[520.0 - 521.8] 而如果現在不加息的話
[521.8 - 524.4] 那麼接下來的市場會有更多的雜音
[524.4 - 526.1] 那這其實也就進一步的反映出
[526.1 - 528.8] 當前以及接下來美聯儲一期會議的決議
[528.8 - 532.0] 會比較現實的受地緣政治的影響
[532.0 - 533.2] 當然這也就意味著
[533.2 - 535.9] 當未來某一天戰事平息的時候
[535.9 - 537.8] 美聯儲就會有更直接
[537.8 - 541.1] 以及更現實的理由去選擇降息
[541.1 - 542.4] 以及进一步的降息
[542.4 - 544.2] 好 那加息决议出来之后
[544.2 - 547.0] 我们看看一些比较重要指标的快速变化
[547.0 - 548.9] 第一美元指数快速上涨
[548.9 - 549.8] 突破了100
[550.1 - 553.8] 那这其实对于不管是沃什还是贝森特来说
[554.0 - 555.2] 是希望看到的
[555.4 - 558.6] 也就是如果接下来要推进弱美元的话
[558.6 - 561.7] 那么在阶段性还是要先推进
[561.7 - 562.9] 强势美元的逻辑的
[562.9 - 565.5] 另外就是对黄金也是有了一定的压制
[565.6 - 567.2] 那这也是我们之前跟大家说的
[567.2 - 569.3] 在特定阶段对于美来说
[569.3 - 573.0] 需要讓美元的重要性高於黃金的重要性
[573.0 - 574.9] 第三在議席會議開的過程中
[574.9 - 577.3] 白宮經濟委員會主任哈塞特說
[577.3 - 582.0] 他和特對於接下來臥實的決策百分之百尊重
[582.0 - 583.7] 尊重臥實政策的獨立性
[583.7 - 586.1] 也完全支持美聯儲的決定
[586.1 - 589.2] 那我理解之所以在議席會議決策出來之前
[589.2 - 590.2] 有這麼一個表態
[590.5 - 594.9] 首先應該是對於接下來決策大概率要加息
[594.9 - 596.0] 先做個鋪墊
[596.0 - 597.1] 第二既然改變不了
[597.1 - 599.5] 那就表达自己对于美联储的尊重
[599.5 - 601.0] 对于卧食的支持
[601.0 - 602.4] 好 决策出来之后
[602.4 - 603.9] 白宫表达很遗憾
[603.9 - 606.4] 特说应该降息降到1%
[606.4 - 608.4] 好 这些表述本身不重要
[608.4 - 610.2] 在我来看 这些表述
[610.2 - 611.6] 虽然听起来很刺耳
[611.6 - 613.6] 但反而是在给卧食加分
[613.6 - 615.3] 这其实就是更进一步的
[615.3 - 617.6] 或者是说更现实的支撑了
[617.6 - 618.6] 美联储的独立性
[618.6 - 621.3] 以及卧食不适特的提现莫
[621.3 - 622.5] 其实就会有利于
[622.5 - 624.2] 卧食接下来在团队中的
[624.2 - 625.5] 话语权影响力
[625.5 - 627.8] 为他之后想推进的一些
[627.8 - 631.0] 不管是调整还是改革去加码
[631.0 - 634.0] 我们知道贝森特毕竟跟卧食是同门师兄弟
[634.0 - 636.4] 经常也一起吃早餐聊天
[636.4 - 639.0] 那我相信对于贝森特来说
[639.0 - 642.2] 是比较能够理解这一次一夕会议
[642.2 - 643.4] 大概是什么样子的
[643.4 - 645.0] 也许 我说的是也许
[645.0 - 647.0] 贝森特跟卧食的日常沟通
[647.0 - 649.6] 其实应该让贝森特比较清晰的
[649.6 - 652.2] 预感到这一次一夕会议的有可能的结果
[652.2 - 655.4] 不排除贝森特也是提前给他打了预防针
[655.4 - 659.1] 所以目前看来特没有表现的过于激动
[659.1 - 661.6] 当然心里肯定是不太舒服的
[661.6 - 664.2] 但我们也要想想有没有表演的成分呢
[664.2 - 667.4] 因为毕竟他们三个人最终的目标
[667.4 - 668.7] 其实还是一致的
[668.7 - 670.8] 好 第四其实在我来看是更重要的
[670.8 - 672.9] 现在美开始加息了
[672.9 - 675.4] 那其他的这些西方经济体
[675.4 - 677.7] 大概率都是要进一步的加息的
[677.7 - 678.5] 如果这样的话
[678.5 - 681.7] 那么对于需要去降息的一些国家
[681.7 - 683.2] 就会有更进一步的压力了
[683.2 - 688.4] 之前SpaceX上市已經抽走了全球很多的資金和流動性
[688.4 - 691.9] 接下來是Anthropic大概是2萬億美元
[691.9 - 696.0] 再接下來是OpenAI初步是1.2萬億美元
[696.0 - 700.2] 那這其實就是要吸全球更多的資金資本流動性
[700.2 - 704.0] 這其實就會對需要降息的國家形成更進一步的壓力了
[704.0 - 707.1] 不排除會有更多的流動性收緊
[707.1 - 708.5] 如果我們說的更直接一些
[708.5 - 712.7] 這其實就開啟了新一個階段的經濟和金融博弈了
[712.7 - 714.0] 那對於美國來說
[714.0 - 716.2] 當前以及接下來比較現實的壓力
[716.2 - 718.4] 就是財政部的債務利息支出了
[718.4 - 719.4] 而值得注意的是
[719.4 - 721.6] 寧可要付更多的債務利息
[721.6 - 722.7] 也要去加息
[722.7 - 724.6] 這其實也就更進一步的說明
[724.6 - 726.6] 就是要更進一步的去推進
[726.6 - 728.3] 經濟和金融的博弈
[728.3 - 730.0] 債券利率的上升也就意味著
[730.0 - 732.7] 投資者們要求更高的債券利率回報
[732.7 - 734.2] 那從這幾個星期來看
[734.2 - 735.8] 美國國債的拍賣倍數
[735.8 - 736.8] 基本還是可以的
[736.8 - 738.7] 也就意味著有人在賣
[738.7 - 740.0] 那有人也在接
[740.0 - 741.3] 但債券利率的上升
[741.3 - 744.3] 让财政部门的复习成本越来越高
[744.3 - 746.3] 这其实也就要求
[746.3 - 749.0] 不管是特政府还是财政部门
[749.0 - 751.1] 要找更多的收入来源
[751.1 - 752.8] 那如果市场接下来认为
[752.8 - 754.8] 美联储会进一步加息的话
[755.3 - 757.4] 那么会进一步的去推高
[757.4 - 758.5] 美国的债券利率
[758.5 - 759.4] 那在我理解
[759.4 - 762.1] 接下来全球会一起进入到一个
[762.1 - 763.4] 越来越难受的阶段
[763.4 - 765.2] 当然不同经济体所表现出来的
[765.2 - 766.7] 难受状况是不一样的
[766.7 - 770.5] 但只要地缘政治不缓和
[770.5 - 774.7] 只要维持或者是说更进一步的升级的话
[774.7 - 776.8] 那么就会继续难受
[776.8 - 778.8] 那我们之前其实也跟大家分享过
[778.8 - 781.4] 美对于这一次的中东战事
[781.4 - 783.5] 它有一个非常现实的目标
[783.5 - 786.1] 就是要重塑全球的能源格局
[786.1 - 789.0] 那目前来看全球确实有越来越多的国家
[789.0 - 791.7] 在去找美国买原油买天然气
[791.7 - 794.3] 而目前来看美并没有在短时间
[794.3 - 796.5] 结束这场战争的意愿
[796.5 - 799.0] 当然嘴上怎么说我们不管
[799.0 - 801.3] 我们只看他背后的真实用意
[801.3 - 803.8] 所以说实话这种难受的状况
[803.8 - 806.8] 在接下来很长一段时间或许是主题了
