[0.0 - 2.6] 虽然从去年开始就跟大家分享这件事情,
[198.7 - 201.2] 有大量的美元以及美元资产
[201.2 - 203.0] 那当前在全球范围
[203.4 - 205.8] 主要的这些国家外汇储备中
[206.0 - 209.9] 美元以及美元资产大概是50%到70%不等
[210.1 - 212.1] 当然有些国家也是非常高的
[212.1 - 214.6] 能达到80%90%甚至更多
[214.6 - 216.0] 第二他们早就想好了
[216.0 - 218.2] 对于美债相关问题的解决
[218.5 - 221.4] 不是简简单单的很辛苦的去还债
[221.4 - 223.4] 当然我们主要说的是利息的部分
[223.7 - 228.0] 因为本间其实大家或者是说全球基本都有共识
[228.0 - 230.1] 也就意味着之前这一年多的时间
[230.1 - 232.7] Tesla公司在美国国债方面的买卖行为
[232.7 - 234.5] 或者是说试验阶段
[234.5 - 236.1] 基本上已经跑通了
[236.1 - 240.4] 接下来在全球要加速推进美元稳定币的发展推广
[240.4 - 245.3] 也就是说要加速去推进全球对于美国国债的支持
[245.3 - 246.5] 或者是说支撑
[246.5 - 248.0] 当然是新的渠道的
[248.0 - 249.9] 第三美元体系2.0
[249.9 - 251.0] 四个重要的因素
[251.0 - 252.1] 第一美元本身
[252.1 - 254.9] 第二石油以及重要能源
[254.9 - 256.7] 第三AI芯片半导体
[256.7 - 258.4] 第四加密货币以及稳定币
[258.4 - 259.9] 那在我理解也就意味着
[259.9 - 262.2] 首先石油美元的进一步的绑定
[262.4 - 264.7] 在之前的这半年多的时间
[265.0 - 266.8] 应该是有进一步的提升的
[266.8 - 268.5] 第二 AI芯片半导体方面
[268.5 - 269.8] 之前的这一年多的时间
[269.8 - 271.6] 它也是在加速的发展的
[271.6 - 272.6] 与此同时
[272.6 - 275.6] 它的相关盟友跟它之间的合作
[275.6 - 277.1] 也是进一步的加深的
[277.1 - 280.0] 第三到了在它来看需要加速
[280.0 - 282.7] 或者是说比之前要提早加速
[283.0 - 284.5] 去推进稳定币的发展的
[284.5 - 286.0] 好那到这儿我们看一个
[286.0 - 288.4] 就在这两天贝莱德的一个观点就是
[288.4 - 292.1] 智能体机器的支付稳定币是最有选项
[292.1 - 293.5] 那之前我们也跟大家说过
[293.5 - 296.1] 美的金融媒体不要看他们互相怎么炒
[296.1 - 299.1] 在很多问题上可能都会有各自的看法
[299.1 - 301.4] 但在维护美元这件事情上
[301.4 - 303.3] 他们是不能开任何的玩笑的
[303.3 - 305.7] 所以贝莱德在这个时候的这个观点
[305.7 - 309.9] 在我来看其实他已经提前去做一些铺垫了
[309.9 - 312.1] 也就是说在未来AA的发展中
[312.1 - 314.9] 他们也是要把它跟稳定币挂钩的
[314.9 - 316.3] 那前面我们也说了
[316.3 - 318.6] 现在他们已经在尝试
[318.6 - 322.3] 石油这个元素跟稳定币之间的进一步的连接
[322.3 - 323.8] 所以这其实也就意味着
[323.8 - 326.1] 他们要推进的美元体系2.0
[326.1 - 328.4] 不仅是有这四个重要的元素
[328.4 - 330.4] 而且这四个元素
[330.4 - 334.6] 接下来都是会被加密货币以及稳定币
[334.6 - 336.8] 尤其是稳定币穿在一起的
[336.8 - 338.9] 也就是说未来新的美元体系
[338.9 - 341.6] 是由加密资产尤其是稳定币
[341.6 - 344.0] 所穿起来的一个整体的币环
[344.0 - 348.0] 當然現在正在處於他們要加速推進穩定幣的這個階段
[348.0 - 350.2] 那在未來進一步的成熟之後
[350.2 - 353.1] 重要的這些資產都是要上鏈的
[353.1 - 355.5] 也就是都可以代幣化
[355.5 - 357.0] 不管是房地產市場
[357.0 - 358.0] 資本市場
[358.0 - 359.7] 包括大宗市場
[359.7 - 361.0] 以及黃金市場
[361.0 - 365.3] 所以當前的美國正在通過製造局部的不穩定
[365.3 - 368.7] 讓全球整個的經濟面對更大的壓力
[368.7 - 369.9] 而在這個過程中
[369.9 - 373.2] 通過收緊全球的資金的流動性
[373.2 - 375.3] 讓更多的資金流入
[375.3 - 376.8] 留在美國的市場
[376.8 - 379.2] 不管是資本市場還是債券市場
[379.2 - 381.1] 當然它需要階段性的高利率
[381.1 - 383.7] 作為自己的代價或者是說犧牲
[383.7 - 384.8] 但我們也要思考一下
[384.8 - 386.3] 如果接下來穩定幣的發展
[386.3 - 387.8] 會快速被推進的話
[387.8 - 391.0] 那麼到接下來不管是它要解決美債的問題
[391.0 - 392.5] 弱美元的問題
[392.5 - 393.8] 降息的問題
[393.8 - 396.1] 其實難度都會大大下降的
[396.1 - 398.0] 也就是說它在十幾年之前
[398.0 - 399.9] 就基本上已經想明白
[399.9 - 401.4] 未來如果要解決
[401.4 - 403.2] 不管是美债的问题
[403.2 - 405.6] 还是美元要面临升级的问题
[405.6 - 407.2] 都需要新的手段
[407.2 - 408.2] 新的途径
[408.2 - 409.8] 或者是说新的游戏规则
[409.8 - 411.0] 而在这个推进阶段
[411.0 - 412.4] 我们之前跟大家分享的
[412.4 - 414.8] 他这一年多时间以来所构建的
[414.8 - 418.0] 美元黄金加密货币三者之间的
[418.0 - 419.6] 流动的蓄水池逻辑
[419.6 - 422.0] 是很重要的支撑体系
