[0.0 - 2.6] 很多朋友不管是在评论还是私信里说
[205.1 - 206.6] 也都解释的比较清楚了
[206.6 - 209.4] 日元汇率美国是肯定要出手的
[209.4 - 210.9] 而且是必须要解决的
[210.9 - 212.3] 因为它出问题
[212.3 - 215.3] 那美股美债都是问题
[215.3 - 218.0] 而这两天比较值得关注的几点
[218.0 - 218.9] 第一就是
[218.9 - 222.8] 日本在充分学习美国的预期管理
[222.8 - 224.6] 那它预期管理的言论
[224.6 - 226.9] 相对来说还是比较坚决的
[226.9 - 232.2] 那这也让市场对于日本央行接下来加息的这个预期大幅提升
[232.9 - 235.2] 并且得到的相关的暗示是
[235.8 - 240.4] 接下来不是只加息一次 很有可能会稳步的加息
[240.9 - 246.1] 当然至于是不是连续的加息还没有特别明确 那之前视频我们也跟大家分享过
[246.7 - 254.7] 对于金融市场的理解 特别忌讳的一点就是我们有些朋友总是从自我出发 就是总是我觉得
[254.7 - 260.7] 一定要逐渐去转换思路 要去理解市场是怎么觉得的
[260.7 - 264.7] 市场是怎么理解的 以及市场是不是相信
[264.7 - 269.7] 那这样才能尽可能的降低自己作为一个普通的散户投资者被收割的几率
[269.7 - 273.7] 那起码这两天通过日元汇率的走势 从市场的角度去理解
[273.7 - 278.7] 他们还是对日本央行接下来的货币政策给予更进一步的预期的
[278.7 - 284.7] 除此之外也不排除每日接下来会进一步的去联合干预日元汇率
[284.7 - 285.7] 如果有需要的话
[285.7 - 287.7] 好 最后稍微总结几点
[287.7 - 288.7] 第一就是
[288.7 - 292.7] 不管是去年的11月11号还是今年的6月24号
[292.7 - 294.7] 我都做过视频
[294.7 - 298.7] 就是关于在金融方面的话语权影响力
[298.7 - 300.7] 要加速去推进了
[300.7 - 302.7] 否则金融这个游戏还是通过
[302.7 - 304.7] 它的很重量级的相关机构
[304.7 - 310.4] 相关机构以及对全球具有辐射力影响力的这些金融媒体去左右的
[310.4 - 315.9] 而今年的这种预期管理会让他们在像原油黄金铜等大宗商品上
[316.5 - 322.8] 更加大收割的 那尤其受影响的就是普通的散户投资者 那在这里其实也要说清楚一件事情就是
[323.4 - 325.2] 提升金融话语权和影响力
[325.8 - 329.1] 不等于简单的去骂他们 他们一直在被骂
[329.1 - 332.8] 首先大家要理解美国的媒体有很多
[332.8 - 335.2] 就是制造各种矛盾
[335.2 - 336.8] 因为这是焦点
[336.8 - 338.0] 这是影响力
[338.0 - 338.9] 这是流量
[338.9 - 339.9] 这是关注度
[339.9 - 341.0] 其次大家可以看到
[341.0 - 343.2] 不管是前些天沃什的发言
[343.2 - 344.7] 然后沃勒的发言
[344.7 - 346.7] 然后飞龙就业数据的公布
[346.7 - 350.1] 还是很现实的影响着全球的金融市场
[350.1 - 351.7] 所以更重要的是
[351.7 - 355.3] 要清晰的去剖析他们的相关发言
[355.3 - 356.5] 背后的目的
[356.5 - 358.9] 要知道他们到底在做什么
[358.9 - 360.4] 以及想干什么
[360.4 - 364.3] 那这是对于我们来说降低我们的风险
[364.3 - 366.5] 更好地保护我们的利益
[366.5 - 367.7] 一个重要的前提
[367.7 - 368.2] 第二
[368.2 - 371.1] 那之前的视频其实也给过朋友们一些小建议
[371.1 - 373.3] 就是对于你特别关注的
[373.3 - 375.3] 不要额外的去给他加细
[375.3 - 378.2] 也不要认为他一定就能在什么什么时候
[378.2 - 379.3] 就能怎么怎么样
[379.3 - 380.5] 如果细心的朋友
[380.5 - 382.4] 通过这几个月就应该能发现
[382.4 - 384.0] 当他们想让他涨的时候
[384.0 - 386.5] 他们就会搬出一堆理由让他涨
[386.5 - 390.5] 当他们想对他形成一定的压力的时候
[390.5 - 393.7] 他们又会扔出一堆的理由去支撑他
[393.7 - 398.3] 而他们不会对他们之前的相关言论错了
[398.3 - 401.5] 或者是说并没有成立说任何的sorry
[401.5 - 404.7] 第三 其实也是之前在直播中跟朋友们分享的
[404.7 - 409.5] 那有很多朋友总是特别纠结一些数据的真或者假
[409.5 - 414.3] 那我的意见是如果我们没有能力去跟他掰齿
[414.3 - 418.3] 那么你要理解的是在这个时候这样的数据出来
[418.3 - 420.1] 到底想要告诉你什么
[420.1 - 421.9] 以及到底他想干什么
[421.9 - 423.1] 那这是最现实
[423.1 - 426.4] 也是对自己思考相关问题最有意义的点了
[426.4 - 427.0] 除此之外
[427.0 - 428.7] 还是我之前的一个观点就是
[428.7 - 431.7] 在当下以及接下来国际援用价格
[431.7 - 434.0] 应该算是比较真实
[434.0 - 434.9] 比较诚实的
[434.9 - 438.2] 所以它可以作为我们去思考相关问题的
[438.2 - 439.7] 一个重要参考指标
