[0.0 - 5.8] 上周五的这个视频跟大家分享,在我看来现在其实已经可以算是第六次中东战争了。
[196.9 - 199.4] 没过多长时间 老特也站出来说
[199.4 - 202.3] 一方还是很希望能够达成协议的
[202.3 - 204.9] 也能够感受出他还是想去降一降温
[204.9 - 207.6] 虽然美方说的是他们已经拦截了
[207.6 - 210.5] 一打到约旦的这些相关的导弹
[210.5 - 212.5] 但另外一方面他并没有忍
[212.5 - 215.5] 反而是去加大了对于伊朗支持的
[215.5 - 217.5] 伊拉克民兵武装的打击
[217.5 - 219.7] 之所以打他是因为这个地方
[219.7 - 222.5] 之前对于沙特有了非常直接的袭击
[222.5 - 224.4] 而且是打了他的相关油田的
[224.4 - 225.5] 那值得注意的是啊
[225.5 - 228.9] 这一次并不是美方单独去打击
[228.9 - 230.3] 而是沙特一起
[230.5 - 232.9] 并且沙特也做了明确的声明
[232.9 - 234.7] 那这个事件其实也就意味着啊
[234.7 - 235.7] 沙特接下来
[235.7 - 238.1] 对于相关的军事方面的行动
[238.1 - 239.4] 会进一步的公开化了
[239.4 - 239.6] 好
[239.6 - 240.1] 那除此之外
[240.1 - 241.2] 我们看看阿联酋
[241.6 - 243.2] 这两天信息也释放出来
[243.2 - 245.6] 其实阿联酋跟以色列之间啊
[245.6 - 247.6] 已经有过多次的密会了
[247.6 - 250.7] 而且他是比较明确的反对之前签的MOU的
[250.7 - 252.7] 认为这会给伊争取更多的时间
[252.7 - 255.4] 而且并没有让E形成实质性的让步
[255.4 - 258.7] 而且我们知道前段时间他是退出了欧派克的
[258.7 - 261.9] 另外就是加大对于能够绕过霍尔木斯海峡
[261.9 - 265.6] 直接到福差伊拉岗这一个部分的管道运输
[265.6 - 267.3] 在进一步的加强建设
[267.3 - 269.3] 而且他也是在特的第一个任期
[269.3 - 271.9] 就跟以色列签署了拉布拉罕协议的
[271.9 - 275.1] 所以其实阿联酋现在的态度也是非常明确的了
[275.7 - 279.8] 因此从阿联酋到巴林到科威特到沙特
[279.8 - 285.6] 现在基本上都有了比较明确的直接反对伊朗的相关行为了
[285.6 - 292.7] 还有一个很重要的事情就是这两天美军宣布要和阿联酋一起成立军事AI特别行动小组
[292.7 - 295.9] 也就是说阿联酋接下来在AI应用上
[295.9 - 300.5] 尤其是军事方面的AI应用上是纳入到美的体系中了
[300.5 - 302.7] 好 我们再看看一方比较重要的表态
[302.7 - 305.6] 尤其是现在比较焦灼的霍尔木斯海峡的问题
[305.6 - 307.7] 他说了前两天阿曼跟他提了一个方案
[307.7 - 309.3] 北边的航道 伊朗控制
[309.3 - 311.0] 南邊的航道 阿曼控制
[311.0 - 312.3] 那至於交費的問題呢
[312.3 - 314.6] 大家自願而不是必須
[314.6 - 316.5] 伊朗明確了是不同意的
[316.5 - 318.3] 而且伊朗要的價還是非常高的
[318.3 - 321.9] 他說不僅北方的航道他要控制
[321.9 - 324.6] 而南方的航道他也要控制一部分
[324.6 - 326.9] 說實話這個表態還是讓我比較意外的
[326.9 - 331.3] 也就是說你不僅要控制自己的相關領海區域
[331.3 - 334.1] 還要管到別人的領海區域
[334.1 - 338.3] 那這也就意味著在霍爾木斯海峽上的折衷方案
[338.3 - 339.6] 也是没有希望的了
[339.6 - 342.7] 那这其实也就反映出伊朗也是非常清楚的
[342.7 - 347.7] 如果放松掉对于霍尔木斯海峡的任何一丁点的控制权
[347.7 - 350.8] 那在美方可能它就没有太多的牌了
[350.8 - 353.1] 好那说完以上我们整体来总结一下
[353.1 - 357.4] 本来特使希望能够在美联储的伊锡会议之前
[357.4 - 359.3] 哪怕是假装的
[359.3 - 362.5] 起码让市场认为接下来是有希望
[362.5 - 367.0] 可以跟伊达成某种的暂停或者是说缓和
[367.0 - 370.0] 以此来降低对于假期的预期
[370.0 - 372.2] 但是昨天一主动打了美军基地
[372.2 - 375.6] 使得本来可以一直下降的这个国际原油价格
[375.6 - 377.0] 直跌反弹
[377.0 - 379.0] 虽然现在还没有飙到特别高
[379.0 - 381.2] 还在88块钱左右
[381.2 - 384.6] 但是这确实会对美联储一席会议上
[384.6 - 387.0] 通胀这件事情加一把柴的
[387.0 - 389.2] 其实就看接下来的这24小时
[389.2 - 392.2] 能不能相对稳定当前的状态
[392.2 - 394.0] 并不是进一步的升级
[394.0 - 394.8] 但不管怎么样
[394.8 - 399.2] 对于卧食28号29号的美联储一席会议上的相关发言
[399.2 - 400.7] 压力肯定是比以前要大了
[400.7 - 405.2] 第二从最新一方所释放出来的关于霍尔木斯海峡的相关态度
[405.2 - 407.9] 其实我们已经非常清晰的可以看到
[407.9 - 413.2] 双方对于霍尔木斯海峡控制权的争夺是不会停止的
[413.2 - 415.5] 而且一再我理解是不会放弃的
[415.5 - 418.3] 所以就更不要提后边的核问题了
[418.3 - 420.0] 连海峡都解决不了
[420.0 - 422.2] 核的问题就更别了了
[422.2 - 424.7] 而现在的战时升级不仅是美方自己
[424.7 - 427.2] 还包括接下来乙方的加入
[427.2 - 430.3] 以及已经加入的相关中东阿拉伯国家
[430.3 - 432.1] 那在这其实有一个非常核心的问题
[432.1 - 434.4] 就是上周我们聊到了关于
[434.4 - 437.7] 美要把沙特拉入到亚巴拉汗协议
[437.7 - 440.6] 跟乙方进行关系正常化的推进
[440.6 - 444.4] 条件就是美方会帮助沙特去推进民用和的应用
[444.4 - 447.9] 当然从建设到运营到管理都是美方所控制
[447.9 - 452.1] 那不管是对于和协议还是对于亚巴拉汗协议
[452.1 - 456.9] 到目前为止都暂时没有看到沙特是直接出来反对的
[456.9 - 460.7] 而我们看到的是沙特进一步的加入到中东的这场战争
[460.7 - 465.9] 所以是不是也就意味着在和协议和亚巴罗汗协议上
[465.9 - 468.7] 美沙之间已经有了一定的共识呢
[468.7 - 471.5] 那如果是这样的话现在中东的情况其实就合理了
[471.5 - 474.1] 因为对于伊朗来说他很清楚
[474.1 - 477.7] 一旦沙特选择要加入亚巴罗汗协议
[477.7 - 481.3] 并且要进一步的加入到这场中东的战争
[481.3 - 483.8] 并且是站在美以这一方的话
[483.8 - 487.2] 那对于伊朗当前的压力以及接下来长远的发展
[487.2 - 488.3] 是非常不利的
[488.3 - 490.5] 所以选择在这个时候让战事升级
[490.5 - 493.5] 那一方面推高油价给美方压力
[493.5 - 496.2] 另外一方面就是现在不管是胡塞也好
[496.2 - 497.9] 还是伊拉克也好
[497.9 - 500.0] 能够对于沙特有一定的打击
[500.0 - 501.9] 其实也是想给沙特施压
[501.9 - 502.5] 第三
[502.5 - 504.9] 当前的中东战争和俄务战争
[504.9 - 507.2] 其实已经被连接在一起了
[507.2 - 508.7] 已经很难分开了
[508.7 - 509.5] 那在这其中
[509.5 - 512.7] 伊朗跟乌克兰的关系其实是非常重要的转折点
[512.7 - 514.1] 我们再试想一下
[514.1 - 516.4] 如果关系进一步的恶化的话
[516.4 - 519.1] 那么对于欧洲相关国家就要考虑
[519.1 - 522.1] 是不是不能只顾及俄巫的战争
[522.1 - 525.3] 而不得不更多的去考虑中东的问题
[525.3 - 527.1] 那如果这样推演下去的话
[527.1 - 529.8] 就不排除战争会进一步的外溢了
[529.8 - 531.8] 那我们回想一下之前的一战和二战
[531.8 - 535.1] 从来没有说一开始大家就一起全都上的
[535.1 - 537.3] 都是一点一点被卷入的
[537.3 - 540.2] 如果当前我们已经看到的一些万一的苗头
[540.2 - 542.1] 不能得到比较好的切断的话
[542.1 - 544.3] 接下来的升级是很难避免的
[544.3 - 545.4] 而且刚才前面说了
[545.4 - 551.2] 美方是通过了对于继续购买俄罗斯石油天然气的国家和地区
[551.2 - 554.5] 要推进的百分之百的次级关税
[554.5 - 557.0] 那这件事情其实已经拖了一年多的时间
[557.0 - 558.4] 现在是终于通过了
[558.4 - 562.0] 这其实也就意味着美方对于在额物问题上
[562.0 - 566.1] 对额的态度跟之前是有非常明确的转变的
[566.1 - 568.9] 那我们想一想当美方更多的偏向乌的时候
[568.9 - 571.3] 有没有可能在中东的问题上
[571.3 - 573.9] 欧洲也会更多的去偏向美
[573.9 - 575.5] 而不是跟它唱反调呢
[575.5 - 577.3] 那如果按照这个思路去推进的话
[577.3 - 580.5] 其实两个大的队伍就会越来越明确了
[580.5 - 582.1] 那如果打开地图我们看一看
[582.1 - 585.7] 其实大家都知道伊朗的地理位置是非常非常重要的
[585.7 - 588.3] 除了在美以看来的啊这个非常重要的理由
[588.3 - 591.9] 就是一是绝对不能用核武器的这一点之外
[591.9 - 597.9] 一的石油以及它日后长久的结算方式也是非常非常重要的
[597.9 - 602.9] 所以这一切的一切就决定着这不是一个可以草草收场的所谓的中东的冲突
[602.9 - 607.9] 好 最后大家应该还记得两个多月前我跟大家分享的要管住手
[607.9 - 612.9] 当时非常核心的一个原因就是接下来不管是国际局势的变化
[612.9 - 618.9] 还是市场的动荡是会越来越显著以及越来越难去提前捕捉的
[618.9 - 621.2] 除此之外,我们知道对于美联储来说
[621.2 - 624.4] 接下来不管是前瞻指引还是点阵图
[624.4 - 627.6] 都会越来越被边缘化,甚至有一天取消
[627.6 - 630.8] 这也就意味着市场的不确定性是会越来越大的
[630.8 - 632.4] 还是那句话大家不要忘记
[632.4 - 634.6] 我们作为非常普通的投资者
[634.6 - 636.4] 是在信息的最末端
[636.4 - 638.6] 有些事情能传达到我们这儿
[638.6 - 640.8] 可能已经发生了好几天了
[640.8 - 643.6] 甚至可能已经马上要做转变了
[643.6 - 646.2] 所以在我来看,从上次跟大家分享到现在
[646.2 - 648.4] 以及接下来到中期选举之前
[648.4 - 652.3] 短期的投机行为风险是会越来越大的
[652.3 - 653.5] 我们一定要紧急一点
[653.5 - 655.8] 就是我们大部分人生活的这些年
[655.8 - 660.3] 已经没有一场能够影响全球的能源
[660.3 - 662.5] 以及金融全面的战争
[662.5 - 663.5] 而且在我看来
[663.5 - 666.1] 这其中应该已经有大量的AI的介入了
[666.1 - 668.9] 所以对于我们非常普通的投资者来说
[668.9 - 673.1] 不要低估这种新时代战争模式的巨大的风险性
