[0.0 - 2.5] 这条视频是一个非常干的金融知识题,
[575.1 - 577.4] 第二 每次谈到人民币国际化
[577.4 - 581.9] 我们官方用的其实主要是稳甚有序去推进的
[581.9 - 584.1] 那这其实很直接的反映着就是
[584.1 - 586.8] 第一 要守住金融安全的底线
[586.8 - 589.3] 第二 要稳步的扎实的去推进
[589.3 - 593.2] 另外就是听完前面对于整个美元体系的介绍
[593.2 - 594.4] 大家应该能理解
[594.4 - 597.6] 如果你想把美元這個主權貨幣
[597.6 - 600.3] 換上另外一個貨幣去替代它
[600.3 - 602.2] 替代的不是那個符號
[602.2 - 605.5] 而是整個一套非常複雜的體系和機制
[605.5 - 607.1] 好 那最後的最後
[607.1 - 610.4] 我說一下大家都覺得是最重要的那個因素
[610.4 - 612.1] 美軍 那我相信聽到這兒
[612.1 - 616.5] 大家應該也能夠改變一些大家之前傳統的認知
[616.5 - 620.7] 就是只要美軍行 美元就行
[620.7 - 624.2] 只要美軍不行 美元馬上就完蛋
[624.2 - 626.6] 不是一个简单的等号
[626.6 - 631.6] 那再我理解的话就是美军是前面所有的这些所形成的体系
[631.6 - 633.6] 一个非常重要的协助力量
[633.6 - 640.6] 好那今天这个视频其实主要就是希望能够把一些比较重要的知识点跟大家做一个分享
[640.6 - 643.6] 好最后有两个补充的知识点也跟大家做一个分享
[643.6 - 647.6] 第一就是如果有朋友对于像我们的CITPS啊
[647.6 - 650.6] embridge啊还有像货币互换啊有兴趣
[650.6 - 652.6] 大家可以去看看这个视频
[652.6 - 655.6] 另外配合这个视频大家也可以再去看一下
[655.6 - 658.0] 2025年7月7号的这个视频
[658.0 - 662.3] 了解一下美国是怎么在这100多年的时间里
[662.3 - 664.8] 一点一点去发这个美元体系的
[664.8 - 666.6] 另外就是置顶的第二个视频
[666.6 - 667.7] 1月8号这条视频
[667.7 - 670.5] 在我理解美为了推进它的重要目标
[670.5 - 675.1] 尤其是其中这包括的维护美元体系的这个重要目标
[675.1 - 677.5] 它今年的一些重要思路和行动
[677.5 - 680.7] 好那最后跟朋友们说几点我的小建议吧
[680.7 - 685.7] 第一 面对金融市场 首先要有基础知识
[685.7 - 687.9] 第二 要尊重这个市场
[687.9 - 691.7] 第三 对于金融市场的关键数据是要有概念的
[691.7 - 694.5] 第四 也是之前这一两个月多次跟大家提及的
[694.5 - 697.5] 未来会有越来越多的不确定性
[697.5 - 699.9] 所以如果你是一个金融市场的参与者
[699.9 - 702.7] 一定要理解这种新的阶段的变化
[702.7 - 705.9] 最后不要用你的意念去思考市场 理解市场
[705.9 - 708.5] 把情绪放一放 多一些理性
