[0.0 - 3.5] 今天我们海关总署公布了6月份的进出口数据
[235.1 - 237.4] 差不多一吨是765美元
[237.5 - 239.0] 跟去年同期相比
[239.1 - 240.8] 大幅增长57%
[240.8 - 242.6] 那如果跟今年的5月份相比
[242.6 - 244.1] 是有一定的回落的
[244.2 - 245.8] 环比下降4.8%
[245.8 - 247.3] 那主要原因就是6月份
[247.3 - 248.1] 霍尔木斯海峡
[248.1 - 250.0] 毕竟出来了不少的油轮
[250.4 - 251.9] 所以国际原油的价格
[251.9 - 253.7] 有了一个非常显著的回落
[253.7 - 255.0] 当然这些船呢
[255.1 - 257.0] 现在还在运输的过程中
[257.0 - 260.1] 还没有能够完全的都到相关的国家
[260.1 - 262.8] 好 我们再来看一下6月份关于天然气的进口
[262.8 - 264.3] 1093万吨
[264.3 - 265.9] 那不仅跟5月份相比
[265.9 - 267.5] 环比增长了8.2%
[267.5 - 269.8] 跟去年同期相比也是在增长的
[269.8 - 271.1] 那这其实也就反映出
[271.1 - 273.1] 当前我们在天然气进口方面
[273.1 - 275.8] 其实是找到了一些比较好的替代元的
[275.8 - 278.1] 当然价格却是比以前贵了
[278.1 - 281.3] 这个月每吨进口是503美元
[281.3 - 284.0] 同比增长是比较显著的13%
[284.0 - 285.3] 那跟5月份相比
[285.3 - 287.1] 環比也是在增長6%
[287.1 - 289.3] 那這其實就反映出現在的中東事件
[289.3 - 294.1] 對於全球像石油天然氣這種大宗價格的影響
[294.1 - 296.1] 擾動因素是非常顯著的
[296.1 - 298.8] 另外我們知道由於雙方簽的這個MOU
[298.8 - 300.7] 本身就是一個非常脆弱的
[300.7 - 304.7] 沒有任何實質性法律支撐的這麼一個所謂的文件
[304.7 - 306.1] 所以現在也就破裂了
[306.1 - 307.3] 戰火也就重燃了
[307.3 - 309.9] 所以不排除接下來對於7月份的影響
[309.9 - 311.1] 可能又會加重
[311.1 - 313.2] 那還有兩個東西比較值得注意的
[313.2 - 314.3] 一個是糧食
[314.3 - 315.3] 一個是大豆
[315.3 - 318.1] 6月份我们进口的粮食1766万吨
[318.1 - 320.5] 同比大幅增长将近23%
[320.5 - 324.2] 那5月份的时候其实就是在继续增长中的
[324.2 - 326.4] 而现在6月份跟5月份相比
[326.4 - 328.5] 环比依旧是增长9%
[328.5 - 331.2] 那大豆也是同比增长10%
[331.2 - 333.2] 环比增长将近15%
[333.2 - 335.8] 那我理解这应该还是有不少的部分
[335.8 - 338.3] 是要充实国库和企业库存的
[338.3 - 341.4] 好 那最后我们整体总结一下6月份的进出口
[341.4 - 343.8] 首先全球科技重构
[343.8 - 346.4] 非常直接的利好我們的高端製造
[346.4 - 348.7] 由於當前全球地緣政治不穩定
[348.7 - 350.4] 不確定的因素不斷的增加
[350.4 - 352.9] 那從數據上反而從另外一個層面
[352.9 - 354.9] 襯托出我們穩定的供應鏈
[354.9 - 356.9] 以及非常有韌性的產業鏈
[356.9 - 358.7] 並且正在以非常快的速度
[358.7 - 362.8] 向AI硬件、芯片、汽車等新制生產力轉型中
[362.8 - 365.1] 好,第二,我們畢竟是能源進口大國
[365.1 - 367.5] 現在不管是中東事件還沒有結束
[367.5 - 369.7] 而且不排除還有可能進一步的升級
[369.7 - 372.3] 以及未來幾個月不排除
[372.3 - 375.0] 又会有一些新的国际地缘的风险
[375.0 - 376.1] 那当下以及接下来
[376.1 - 379.5] 不管是要达成更多更加稳定的能源供应
[379.5 - 381.4] 那在我来看这里边不仅包括海院
[381.4 - 384.1] 还有就是要进一步的加大陆路的管道运输
[384.1 - 386.3] 与此同时也要以底线思维
[386.3 - 388.7] 通过煤制油煤制天然气
[388.7 - 390.7] 守住我们的能源安全底线
[390.7 - 392.8] 那这一部分不是为了什么商业利益
[392.8 - 396.2] 而是在未来有可能要面对的极端条件下
[396.2 - 397.5] 那必须的底牌
[397.5 - 398.1] 第三
[398.1 - 400.5] 在之前央行的货币政策报告中
[400.5 - 401.7] 其实明确提出
[401.7 - 404.5] 对于输入性通胀是要密切关注的
[404.5 - 406.7] 那从现在这几个月其实能反映出
[406.7 - 410.8] 未来国际能源价格被各种扰动的几率
[410.8 - 412.7] 其实是在不断的增加的
[412.7 - 414.5] 那这对于我们国内的这些企业们
[414.5 - 417.8] 不管是生产 收入 利润 以及招工等等
[417.8 - 419.6] 都是会有非常直接的影响的
[419.6 - 421.8] 那这一部分接下来我们可以密切的去关注
[421.8 - 423.2] 央行的相关货币政策
[423.2 - 426.0] 以及其他的一些逆周期调节的政策的
