[0.1 - 4.1] 今天潘行长在香港固定收益及货币峰会上做了发言,
[155.2 - 158.6] 那新的人民币国债期货接下来在香港推出以后
[158.6 - 161.6] 其实就是希望能够有效解决这个问题
[161.6 - 163.5] 而且有了这个对冲工具
[163.5 - 167.0] 就可以让这些境外机构当债券的利率
[167.0 - 168.8] 有比较显著的波动的时候
[168.8 - 170.9] 不至于上来就都抛债
[170.9 - 173.5] 一方面消除了他们的后顾之忧
[173.5 - 177.3] 同时也是在保护我们债券市场的现货稳定
[177.3 - 178.7] 那更详细的讲解
[178.7 - 180.9] 大家可以去回顾7月4号的这个视频
[180.9 - 185.9] 第二 推荐要把债券通公司升级为交易平台的运营实体
[185.9 - 186.9] 好 啥意思呢
[186.9 - 190.7] 以前债券通公司你可以把它理解为就是一个通道
[190.7 - 193.3] 那之后呢 是希望能够把它打造成为
[193.3 - 196.5] 亚洲版的一站式的金融超级市场
[196.5 - 199.9] 也就是说要提供更多的金融基础设施服务
[199.9 - 203.4] 把以前的通道提升为一个大平台
[203.4 - 206.6] 以此就可以打破以前各个金融的子市场
[206.6 - 209.6] 比如说债券 外汇 货币等等
[209.6 - 212.6] 大家之间处于相对来说比较割裂的状态
[212.6 - 213.2] 举个例子
[213.2 - 215.9] 以后就可以在这个平台里同时完成
[215.9 - 220.2] 像人民币债券交易 外汇交易 拆借资金等等
[220.2 - 221.9] 不仅是要降成本提升效率
[221.9 - 224.2] 更重要的是希望能够进一步的去满足
[224.2 - 225.9] 这些大型的主权财富基金
[225.9 - 229.0] 跨国基金日常的国际金融惯例
[229.0 - 231.0] 第三 在黄金和大宗方面
[231.0 - 235.4] 要支持设立首个境外黄金交割仓
[235.4 - 238.6] 并且要建立黄金清算结算系统
[238.6 - 243.0] 再有就是要推出更多以人民币计价的大宗商品
[243.0 - 245.8] 那我们知道全球主要的大宗商品
[245.8 - 248.6] 像黄金啊 原油啊 以及铜啊等等
[248.6 - 251.0] 大部分都是以美元计价的
[251.0 - 255.4] 那接下来就是要实现真金白银的在香港本地储存
[255.4 - 256.6] 以及交割黄金
[256.6 - 262.8] 那这其实也就是希望能够进一步的提升香港作为亚洲黄金交易枢纽的相关地位
[262.8 - 267.8] 与此同时要充分的利用香港作为自由港以及国际金融中心的便利
[268.4 - 273.4] 推动更多的交易商啊 用人民币计价去进行大宗商品的贸易
[273.9 - 274.9] 好 接下来第三大点
[275.4 - 281.5] 要巩固离岸人民币的枢纽地位 首先支持香港金管局把人民币业务资金从2000亿
[281.5 - 282.8] 擴容到5000億
[282.8 - 284.6] 那我們知道香港本地的商業銀行
[284.6 - 286.5] 在他們開展人民幣貸款啊
[286.5 - 287.9] 融資等業務的時候
[287.9 - 291.0] 最擔心的就是離岸人民幣缺資金了
[291.0 - 292.6] 現在把額度提升了
[292.6 - 295.1] 其實就是為香港銀行體系
[295.1 - 296.8] 提供更多的彈藥
[296.8 - 298.6] 香港的銀行們有了這筆
[298.6 - 300.3] 更充裕的長期資金
[300.3 - 301.8] 也就更放心的
[301.8 - 303.9] 可以去推進相關的銀行業務了
[303.9 - 304.8] 而在這個過程中
[304.8 - 306.4] 也就更有利於去穩定
[306.4 - 308.0] 離岸人民幣的資金利息了
[308.0 - 310.5] 第二 境外央行回購工具落地
[310.5 - 317.9] 那之前我们在6月19号的视频在2026陆家嘴论坛上专门跟大家分享过这个内容
[317.9 - 321.9] 简单说就是外国的央行主权财富基金国际金融机构等等
[321.9 - 325.1] 那他们手里如果有我们的高等级债券
[325.1 - 328.5] 比如说国债可以在短期抵押给我们的中国人民银行
[328.5 - 330.1] 那换取人民币现金
[330.1 - 333.5] 日后按照一定的利息去进行赎回
[333.5 - 336.3] 目的首先就是给外资吃一个定心丸
[336.3 - 341.5] 以后你们如果积蓄钱的时候不用去抛我们的国债了
[341.5 - 344.0] 跟央行去做一个交易就可以了
[344.0 - 345.6] 一方面让他们放心配置
[345.6 - 348.4] 同时也是要稳定我们的金融市场
[348.4 - 350.6] 一个产品如果能够成为抵押品
[350.6 - 352.9] 并且成为日常的抵押品
[352.9 - 354.4] 它才是一个好的产品
[354.4 - 357.8] 这其实也是在逐步去推进我们的国债
[357.8 - 361.9] 能够成为被全球更多的资金所认可的
[361.9 - 364.8] 流动性逐渐在提升的重要资产
[364.8 - 366.6] 那接下來就要在香港落地了
[366.6 - 369.3] 這其實也就是希望能夠更加精準的去調控
[369.3 - 371.1] 離岸市場的流動性風險
[371.1 - 373.8] 具體細節可以回顧6月19號的視頻
[373.8 - 378.0] 第三要深化內地和香港快速支付系統的互聯互通
[378.0 - 379.6] 那目的其實就是希望能夠
[379.6 - 383.1] 實現兩地資金清算的零延時以及無縫銜接
[383.1 - 386.7] 不管是日常消費還是跨境電商還是金融機構等等
[386.7 - 388.5] 讓大家感覺像在同一個地方一樣
[388.5 - 390.4] 方便快捷以及安全
[390.4 - 392.1] 那這其實也就有助於
[392.1 - 395.9] 进一步的去降低这两地之间的资金流转成本了
[395.9 - 397.1] 最后第四大点
[397.1 - 400.3] 坚定维护金融稳定与安全
[400.3 - 402.6] 好那以上就是这一次攀行讲话中
[402.6 - 404.5] 在我来看比较重要的一些内容了
[404.5 - 405.4] 那目的呢
[405.4 - 408.2] 首先我们知道香港其实在金融方面
[408.2 - 410.1] 是非常依赖于股市的
[410.1 - 411.1] 也就是IPO的
[411.1 - 414.9] 那央行接下来其实是希望能够助力香港去补齐
[414.9 - 416.9] 它在像固收啊衍生品啊
[416.9 - 419.5] 大宗商品方面的现有的一些短板的
[419.5 - 421.8] 这样让香港整体的金融生态
[421.8 - 424.9] 更加完善以及抗風險能力更加的強
[424.9 - 427.2] 第二完善香港的市場規則
[427.2 - 430.6] 讓更多的海外資金願意並且放心
[430.6 - 433.2] 把更多的長線的錢留在香港
[433.2 - 436.5] 第三充分利用香港高度國際化的離岸池
[436.5 - 438.9] 讓人民幣國際化在推進的過程中
[438.9 - 440.6] 有更多的償失空間
[440.6 - 443.6] 最後央行這一次給出的一系列的政策
[443.6 - 445.7] 在我來看含金量還是很高的
[445.7 - 447.1] 接下來對於香港來說
[447.1 - 450.1] 就是怎麼能夠更好地去利用自己的特殊優勢
[450.1 - 452.1] 把这些政策软连通落地
[452.1 - 454.0] 在当前以及接下来国际政治
[454.0 - 455.5] 国际经贸国际金融
[455.5 - 458.1] 有越来越多的不确定性的大背景下
[458.1 - 460.4] 加速去争夺国际大宗商品
[460.4 - 462.8] 以及衍生品的实际交易份额
[462.8 - 464.9] 以及重点商品的定价权
