[0.0 - 3.3] 昨天卧室参加了他上任以来首次的听证会,
[224.0 - 225.5] 与此同时也明确了
[225.5 - 229.2] 对于卧实成立的资产负债表工作组
[229.2 - 232.8] 接下来要推进的相关工作已经做好准备了
[232.8 - 236.0] 那也就意味着只要上面卧实也就是他的老板
[236.0 - 237.3] 政策明确了之后
[237.3 - 238.9] 他就会按照执行的
[238.9 - 242.8] 第五对于AI促进整个美国生产率的提升
[242.8 - 246.0] 经济的发展卧实的态度依旧是比较积极的
[246.0 - 249.3] 第六对于数字资产像加密货币稳定币
[249.3 - 251.6] 接下来卧实的推进速度
[251.6 - 254.2] 大概率也是会比以前更加快的
[254.2 - 260.0] 也会借此去提升全球对于美债以及短期融资市场的流动性支持
[260.0 - 266.2] 那昨天也是公布了5月份外国持有美债的新数据9.37万亿美元
[266.2 - 268.4] 也是创了历史第二新高的
[268.4 - 272.2] 它的第一持有人日本是减少了668亿美元的
[272.2 - 277.1] 我们也知道主要就是应对于当时日本汇率的巨大压力
[277.1 - 280.7] 后来这份美国给他打电话也让他尽可能的要克制一下
[280.7 - 283.2] 英国是增加了111亿美元
[283.2 - 284.4] 依旧是在第二位
[284.4 - 286.4] 我们增加了82亿美元
[286.4 - 288.4] 现在是6593亿
[288.4 - 290.2] 在这也必须跟大家说
[290.2 - 294.1] 美债是一个全球流动性的投资工具
[294.1 - 296.2] 我们对于美债的持有
[296.2 - 300.0] 大家能看出整体是一个相对来说下降的状态
[300.0 - 301.8] 但它毕竟是个投资工具
[301.8 - 305.5] 而且收益率大家也看得到5月份还是不错的
[305.5 - 307.8] 所以事实的增减
[307.8 - 309.4] 这都是非常正常的行为
[309.4 - 310.2] 好 说回来
[310.2 - 313.0] 未来美国利用数字货币以及稳定币
[313.0 - 315.3] 去支撑它的美债体系
[315.3 - 316.3] 在我来看这件事情
[316.3 - 318.1] 不管是卧实还是贝森特
[318.1 - 319.7] 都会一起加速去推进
[319.7 - 321.5] 好 最后我们整体总结一下
[321.5 - 323.0] 昨天卧实的听证会
[323.0 - 324.3] 如果让我来说的话
[324.3 - 326.8] 正式宣告鲍威尔时代结束了
[326.8 - 328.4] 一个更加聚焦通胀
[328.4 - 329.7] 关注货币供应
[329.7 - 332.0] 并且要缩减资产负债表的
[332.0 - 334.5] 卧实美联储时代正式开启了
[334.5 - 335.8] 那以上的这些内容
[335.8 - 338.4] 所要围绕的一个非常重要的核心线
[338.4 - 339.9] 就是要重塑美元信用
[339.9 - 341.8] 只有此才能在未來真正實現
[341.8 - 344.4] 弱美元但強勢美元的有效落地
