[0.0 - 3.2] 前段时间,新加坡星展银行DBS正式宣布
[198.1 - 201.0] 现在DBS其实是在防守反击了
[201.0 - 204.3] 另外就是传统的金条金市对于现在的年轻一代
[204.3 - 207.4] 尤其是web3原生代名是缺乏吸引力的
[207.4 - 210.7] 而现在DBS其实就是想投他们所好
[210.7 - 213.8] APP交易24小时交易碎股化交易
[213.8 - 217.4] 在我来看就是像圈粉这一部分追求流动性
[217.4 - 220.1] 喜欢新鲜事物的年轻客群
[220.1 - 222.0] 第三以前我们就跟大家分享过
[222.0 - 226.0] 未来在金融世界的发展趋势其实就是RWA
[226.0 - 229.7] 对于银行相对来说比较传统的金融机构
[229.7 - 231.2] 首先要安全
[231.2 - 233.2] 那黄金就是最好的试验品
[233.2 - 234.2] 他们认可度高
[234.2 - 235.4] 标准一分割
[235.4 - 238.4] 所以是最适合代币化的金融资产了
[238.4 - 241.1] 当DBS把代币化黄金这个链路铺通之后
[241.1 - 243.4] 它就可以复制到像房地产
[243.4 - 244.4] 艺术品
[244.4 - 246.4] 私募股权等等资产上
[246.4 - 249.6] 也就是说它可以逐渐从一个传统的银行
[249.6 - 252.4] 逐渐转型为数字资产银行
[252.4 - 254.4] 再有就是新加坡在今年3月份的时候
[254.4 - 258.6] 提出了要建设亚洲黄金交易与托管中心
[258.6 - 263.1] 所以DBS这次要把它在金库里的黄金数字化
[263.1 - 264.5] 不仅是商品创新
[264.5 - 266.1] 也是在响应这一战略
[266.6 - 269.8] 与此同时也是在跟伦敦香港争
[269.8 - 272.1] 更多的金融市场以及话语权
[272.1 - 273.4] 好事是不错
[273.4 - 275.6] 那我们也得看看会有哪些挑战呢
[275.6 - 277.2] 首先也是最现实的
[277.2 - 278.4] 那大家也看得到
[278.4 - 281.6] 这段时间以来黄金价格的波动是非常显著的
[281.6 - 285.8] 而这一次DBS是把这个代币化黄金的产品推向给了散户
[285.8 - 288.8] 而散户是抗风险能力非常弱的
[288.8 - 290.0] 那产品上线之后
[290.0 - 293.4] 如果黄金有了更大幅度的波动
[293.8 - 294.8] 上涨还好
[294.8 - 298.2] 那如果下跌也就意味着散户会有更多的亏损
[298.2 - 301.4] 那在这个过程中有没有可能发生一些不愉快
[301.4 - 302.6] 或者是说纠纷呢
[302.6 - 304.0] 第二 刚才前面说了
[304.0 - 307.0] 重要的一个卖点就是百分之百可以兑换真金
[307.0 - 308.6] 银行库存里都是大金条
[308.6 - 311.6] 而散户一般都是将10克 50克 100克
[311.6 - 313.0] 也就是说对于DBS
[313.0 - 316.8] 未来要更高频的去应对金条的切割
[316.8 - 320.4] 铸造物流保险以及更严格的身份核验
[320.4 - 322.9] 这对于银行来说压力一下就大了
[322.9 - 324.0] 第三 刚才前面说了
[324.0 - 327.0] 像Tether的XAUT发展的已经比较成熟了
[327.0 - 328.5] 而且手续费非常低
[328.5 - 330.3] 而且又是在攻链上运行
[330.3 - 332.9] 可以无缝接入去中心化金融
[332.9 - 334.2] 对于DBS来说
[334.2 - 336.7] 既然你要能兑15黄金
[336.7 - 339.3] 所以整体的成本可就要高起来了
[339.3 - 342.5] 所以对于银行来说就要找到这边安全性
[342.5 - 344.6] 这边交易成本之间的平衡
[344.6 - 346.6] 第四 DBS推出的这个产品
[346.6 - 349.0] 用的是自己的区块链系统
[349.0 - 351.7] 而且只能在自己的APP内进行交易
[351.7 - 352.8] 也就是说他只能满足
[352.8 - 354.2] 自由的这一部分客户群
[354.2 - 356.3] 而没有办法像加密市场那样
[356.3 - 359.2] 可以拥有非常庞大的全球流动性
[359.2 - 361.6] 最后可能也是会有很多人打问号的
[361.6 - 364.5] 就是真的会跟金库一一对应吗
[364.5 - 366.1] 有没有更加可信的
[366.1 - 367.4] 链上的第三方审计
[367.4 - 370.2] 而怎么保证他说的是真的
[370.2 - 371.8] 好 最后我们来说说
[371.8 - 373.2] 對於香港的一些啟示吧
[373.2 - 375.0] 剛才前面說了在24年的時候
[375.0 - 377.6] 匯豐其實就已經推出go token了
[377.6 - 379.7] 交易額已經要突破10億美元了
[379.7 - 381.5] 而DBS現在不僅是趕上
[381.5 - 383.3] 而且是更往前邁了一步
[383.3 - 385.3] 可以兌換黃金真金
[385.3 - 388.0] 那如果未來香港希望自己能夠繼續
[388.0 - 390.0] 保持在RWA這個領域
[390.0 - 392.9] 在整個亞洲地區的領跑地位的話
[392.9 - 395.4] 未來代幣化貴金屬業務產品
[395.4 - 398.3] 是需要跨越虛擬衍生品的這個階段的
[398.3 - 399.8] 也就是說要把鏈上物權
[399.8 - 402.0] 跟線下金庫進行鎖定
[402.0 - 403.0] 第二 剛才前面說了
[403.0 - 406.2] DBS它做的是在自己的區塊鏈系統中的
[406.2 - 407.8] 那對於香港來說
[407.8 - 411.1] 其實是要借鑒這一有可能的短板的
[411.1 - 413.0] 可以嘗試的是鏈上跨境結算
[413.0 - 414.4] 要打破孤島效應
[414.4 - 417.4] 真正去釋放更多的真實的流動性
[417.4 - 419.2] 第三 我們之前也跟大家分享過
[419.2 - 422.5] 在今年建立了香港黃金中央清算系統
[422.5 - 424.4] 而且是跟上海黃金交易所
[424.4 - 425.6] 簽訂了合作協議的
[425.6 - 427.2] 那我們知道黃金代幣化業務
[427.2 - 429.0] 背後其實是非常沉重的
[429.0 - 431.6] 像物流啊 審計啊 鑄造成本等等
[431.6 - 432.6] 所以對於香港來說
[432.6 - 436.6] 其實不用讓各個銀行重複去建立自己的代幣化金庫
[436.6 - 440.4] 而是應該充分利用剛才前面提及的黃金中央清算系統
[440.4 - 443.6] 達到一個全港統一的又有國家信用去做背書的
[443.6 - 446.2] RWA黃金底層托管庫
[446.2 - 450.0] 這樣的話是不是清算系統專注於清算審計
[450.0 - 453.7] 而各個銀行就做分銷商去發黃金代幣
[453.7 - 457.3] 這樣就可以非常大程度的去降低運營成本
[457.3 - 458.7] 發揮規模效應
[458.7 - 462.2] 好 那这次DBS推出的这个新业务看似很低调
[462.2 - 463.9] 但背后的意义是不能忽视的
[463.9 - 466.7] 在我来看就是在数字化时代
[466.7 - 468.2] 对于金融中心
[468.2 - 471.2] 尤其是RWA这一块新的争夺
[471.2 - 473.4] 接下来要看的不仅是谁的产品更多
[473.4 - 474.5] 谁的法律更完善
[474.5 - 476.9] 更是谁的安全系数更高
[476.9 - 479.5] 谁的基础设施更全链条
[479.5 - 481.4] 谁的服务体验更佳
[481.4 - 483.5] 现在后来者已经在加速发力了
[483.5 - 485.9] 对于香港来说就要把食物黄金
[485.9 - 487.7] 中央清算代币化技术
[487.7 - 489.1] 三点去连成线
[489.1 - 492.0] 从而去助起更有自己特色的竞争壁垒
