[0.0 - 5.5] 周末了一起烧脑一下,跟大家分享一个对于我们金融市场离岸发展的大事件。
[170.6 - 173.3] 那以前可以采用的像人民币利率互换
[173.3 - 175.1] 但这是一个间接的工具
[175.1 - 179.0] 对于经常在各个地方去买债券
[179.0 - 181.6] 并且进行对冲的这些境外投资者来说
[181.6 - 182.4] 不方便
[182.4 - 184.1] 那这一次国债期货的推出
[184.1 - 185.7] 对于这些海外投资者来说
[185.7 - 188.2] 就可以这边买入国债的现货
[188.2 - 190.2] 这边去做空期货
[190.2 - 191.4] 从而锁定风险
[191.4 - 194.7] 这其实是给了这些外资一个更方便的保护伞
[194.7 - 195.8] 有了这把伞
[195.8 - 199.4] 那么外资就会更愿意的去购买我们的国债了
[199.4 - 201.8] 那大家要知道对于海外的这些大型基金
[201.8 - 204.0] 比如说主权基金养老金等等
[204.0 - 206.4] 他们其实是有一个不成文的风控习惯的
[206.4 - 208.6] 就是如果一个资产虽然它好
[208.6 - 211.9] 但是它只能买而不能对冲风险
[211.9 - 214.2] 是不会进行大规模的配置的
[214.2 - 215.5] 所以这一次新产品的退出
[215.5 - 218.7] 其实也是希望能够给这些海外的投资机构
[218.7 - 222.2] 更符合国际金融习惯的风险对冲工具
[222.2 - 224.0] 第二 以前没有这个产品的时候
[224.0 - 225.2] 如果债市下跌
[225.2 - 228.4] 不排除这些海外机构是会抛售
[228.4 - 230.8] 或者是说大量抛售国债现货的
[230.8 - 233.2] 那对于我们的国债市场肯定就是不利的了
[233.2 - 237.1] 所以新产品也是希望能够更加稳定现货的资金
[237.1 - 242.2] 第三 我们知道央行对于我们人民币国际化是稳胜有序推进
[242.2 - 244.8] 那如果希望能够接下来更进一步的话
[244.8 - 247.2] 就必须给人民币资产一个更完整
[247.2 - 250.0] 更符合国际金融规则的生态圈
[250.0 - 253.4] 不仅能买股票 股票通 买债券 债券通
[253.4 - 255.9] 还能买衍生品 也就是小期货
[255.9 - 259.2] 这样才有机会让人民币从现在的贸易货币
[259.2 - 262.2] 逐渐去走向储蓄或者投资货币
[262.2 - 264.9] 第四从前面那个视频大家应该能够感受出
[265.4 - 269.4] 新加坡等离岸市场其实一直是对于有着中国概念的
[269.4 - 271.4] 金融衍生品市场虎视眈眈的
[271.4 - 274.6] 那香港作为我们非常重要的离岸桥头榜
[274.8 - 277.1] 拿下国债期货的定价权
[277.1 - 280.0] 对于巩固它的衍生品风险管理中心地位
[280.0 - 281.6] 是有重要的支撑作用的
[281.6 - 283.1] 所以大家应该就能理解
[283.3 - 285.6] 这个新的国债期货产品推出之后
[285.6 - 289.0] 其实是扫清了一些以前的制度障碍的
[289.0 - 292.5] 接下来就有机会去吸引全球更多的长线大庄家
[292.8 - 297.4] 让中国国债成为他们核心资产配置重要之一
[297.4 - 300.2] 好 接下来我们要说说要把这件事情做大做强
[300.3 - 301.8] 要啃那些硬骨头
[301.8 - 303.4] 首先就是流动性的建立
[303.6 - 306.9] 期货市场其实最看重的就是对手盘了
[306.9 - 309.3] 如果这个市场只有想对冲风险的买方
[309.3 - 313.1] 而没有或者是说缺乏去承担风险卖方的话
[313.1 - 314.9] 市场就不容易活跃起来
[315.1 - 318.9] 所以接下来就是要吸引更多的国际大的头行
[318.9 - 319.7] 来做事
[319.7 - 320.5] 第二就是
[320.5 - 322.1] 人民币在两地之间
[322.1 - 323.9] 是不能完全的自由流转的
[323.9 - 325.1] 所以如果两边的价格
[325.1 - 326.7] 由于某个突发事件
[326.7 - 328.3] 产生了显著的利差的话
[328.7 - 330.7] 那么不排除海外的投资者
[330.7 - 332.5] 是对价格有一定的疑惑的
[332.5 - 332.7] 好
[332.7 - 333.4] 那在这里
[333.4 - 334.8] 大家就可以回顾一下
[334.8 - 336.8] 之前这个视频跟大家分享的
[336.8 - 338.9] 关于接下来要在上海自贸区
[338.9 - 341.3] 开展离岸人民币外汇交易试点了
[341.3 - 341.5] 好
[341.5 - 343.1] 那最后我们整体总结一下
[343.1 - 344.9] 一个货币如果想真正成为
[344.9 - 346.9] 全球不可或缺的货币
[346.9 - 348.5] 除了可以拿它买东西
[348.5 - 350.6] 还要让大家有地方可以去存着它
[350.6 - 353.3] 以及更方便更好的去保护它
[353.3 - 356.5] 那这其实就是推进人民币国际化这个进程中
[356.5 - 359.8] 所要构建的更加完整的人民币资产币环
[359.8 - 361.8] 这一次中国国债期货的推出
[361.8 - 364.4] 不仅是帮助这些海外的投资者
[364.4 - 366.7] 在很大程度上解答了他们
[366.7 - 370.3] 我们该不该更多的去购买中国国债的这个顾虑
[370.3 - 373.1] 更是我们的资本市场向高水平双向开放
[373.1 - 376.5] 并且完善离岸风险管理生态的关键一步
[376.5 - 377.9] 不仅是多了个交易品种
[377.9 - 382.5] 而是向能够与国际接轨的更加完整的市场规则在迈进
