[0.0 - 4.6] 即10天前我们跟大家分享的关于全球最大的期货交易所智商所
[337.8 - 340.7] 是千万不能不屑以及无所谓的
[340.7 - 342.9] 是需要我们给予高度的重视以及警戒的
[343.2 - 345.5] 因为他们的发声往往是无声无息的
[345.5 - 349.4] 但殺傷力以及對於未來很長一段時間的影響力
[349.4 - 350.4] 是相當強的
[350.4 - 353.2] 我知道有些朋友可能會不屑於美國的金融
[353.2 - 355.4] 但大家一定要理解或者是說
[355.4 - 357.8] 通過這些事件一定要逐漸理解
[357.8 - 359.6] 在金融方面的創新
[359.6 - 362.8] 美國這100多年是一直沒有停歇過的
[362.8 - 364.2] 那當下我們看到的就是
[364.2 - 366.7] 他在通過不斷的改變傳統的規則
[366.7 - 368.5] 製造新的遊戲規則
[368.5 - 370.3] 去實現他相關的目標
[370.3 - 372.2] 而在這個過程中一定會伴之的
[372.2 - 373.8] 就是更多的不確定性
[373.8 - 375.8] 以及更多新的形式的收割
[375.8 - 377.5] 所以对于普通的投资者来说
[377.5 - 378.8] 一定要尊重金融
[378.8 - 379.8] 尊重市场
[379.8 - 381.1] 并且尊重变化
