[0.0 - 5.5] 关注美联储接下来相关缩表事宜的朋友,这条视频要认真理解一下了。
[290.2 - 291.1] 佩尔利的这段话
[291.1 - 292.1] 但在我来看
[292.1 - 295.3] 这某种程度上就是借佩尔利的口
[295.3 - 299.3] 向整个市场释放的接下来技术性顺用
[299.3 - 303.8] 以及未来有可能要进入到下一个阶段的提前预期
[303.8 - 305.4] 那就是要向市场表明
[305.4 - 308.5] 未来美联储的钱包不会再盲目的去扩大了
[308.5 - 311.4] 我作为这个钱包的主负责人
[311.4 - 312.9] 我心里已经很清楚了
[312.9 - 314.3] 如果你们谁还有幻想
[314.3 - 317.3] 那是需要你们自己去快速调整思路的了
[317.3 - 319.1] 而这其实也就进一步的表明
[319.1 - 320.8] 不管是重塑美元信用
[320.8 - 324.0] 以及再之后的弱美元但强势美元
[324.0 - 327.1] 是贝森特和卧室他们的高度攻势
