[0.0 - 2.0] 我们先来看几个比较重要的数据。
[149.4 - 151.5] 而且力度也是越来越强的
[151.5 - 154.6] 那主要的目的其实就是为了能够进一步的削弱
[154.6 - 158.8] 一对于霍尔木斯海峡过往船只有可能产生的不利影响
[158.8 - 161.6] 所以当前国际油价这几天的上涨
[161.6 - 164.5] 主要原因是霍尔木斯海峡再次被封锁
[164.5 - 166.6] 但没有进一步的上涨
[166.6 - 170.6] 其实大家也是在看美接下来是不是有可能
[170.6 - 173.6] 去把霍爾木斯海峽的控制權
[173.6 - 176.0] 或者是說更進一步的主動權拿到
[176.0 - 178.2] 那如果能拿到國際原油價格接下來
[178.2 - 179.4] 就會進一步的下降
[179.4 - 181.2] 如果難度比較大
[181.2 - 183.6] 那這個價格就會僵持在這
[183.6 - 185.8] 甚至不排除會有一定的上漲
[185.8 - 188.0] 好 那這三個大的指標看完以後
[188.0 - 189.8] 我們整體來盤一下
[190.3 - 192.9] 從去年的10月份 11月份
[192.9 - 194.6] 到現在的7月份
[195.3 - 197.2] 美元指數回升了
[197.7 - 199.1] 國際原油價格
[199.1 - 202.0] 基本上维持在一个可控的范围之内
[202.0 - 204.4] 而国际金价被严重打压
[204.4 - 206.3] 好 那在这个过程中
[206.3 - 207.7] 首先美国财政部长贝森特
[207.7 - 210.1] 从去年的4 5月份就明确了
[210.1 - 212.9] 接下来是要推进强美元
[212.9 - 217.9] 那2月份卧室准备上任之前到现在
[217.9 - 219.7] 他也是这个态度
[219.7 - 221.3] 要重塑美元信用
[221.3 - 223.3] 所以其实不管是尾还是对于1
[223.3 - 225.3] 那美的相关行动
[225.3 - 227.3] 首先必须要重新
[227.3 - 230.3] 讓石油美元更進一步的綁定
[230.3 - 233.1] 而這兩個國家都是跟石油密不可分的
[233.1 - 233.8] 第二
[233.8 - 236.7] 對於黃金之前的唱多唱多唱多
[236.7 - 237.5] 在我理解
[237.5 - 240.3] 就是希望能夠讓全球首先
[240.3 - 243.3] 有一個對黃金接下來不斷上漲的共識
[243.3 - 245.5] 當然理由是非常有支撐的
[245.5 - 250.5] 首先全球政府的債務已經超過350萬億美元了
[250.5 - 253.9] 另外地緣的不確定性越來越加強
[253.9 - 255.7] 然後還有就是大家對於美元
[255.7 - 257.5] 有可能的越来越多的不信任
[257.5 - 259.4] 而且大家发现没有
[259.4 - 262.5] 在之前的黄金一路上涨的这个过程中
[262.5 - 265.0] 其实美国对于黄金的上涨
[265.0 - 267.4] 以及大家对于美元的不信任
[267.4 - 270.4] 其实并没有特别多的官方表态
[270.4 - 273.0] 似乎对这样的讨论是一种放任的态度
[273.0 - 277.5] 而更多更频繁的去表明要重塑美元信用
[277.5 - 279.8] 还真的是从今年加大的
[279.8 - 282.6] 而在美的各种金融媒体金融机构
[282.6 - 285.9] 对于黄金各种畅多或者是说加持之后
[285.9 - 288.1] 大家的共识也越来越强烈了
[288.1 - 290.5] 然后才能到真正的高点
[290.5 - 293.3] 并且配合相关的战争的爆发
[293.3 - 294.6] 进一步的打压
[294.6 - 296.4] 或者是说大力度的打压
[296.4 - 298.6] 那在之前以及在这个过程中
[298.6 - 301.0] 他们已经完成大部分的出货了
[301.0 - 303.0] 那筹码呢就交给普通的投资者了
[303.0 - 304.7] 而有意思的是
[304.7 - 305.9] 就在前两天
[305.9 - 307.4] 有一个新闻是说
[307.4 - 310.6] 贝森特表明他们已经完成了
[310.6 - 313.9] 對美諾克斯堡金庫的所有的盤點
[313.9 - 315.2] 而他又一次的強調
[315.2 - 318.4] 美國擁有全球最大的黃金儲備
[318.4 - 320.8] 現在價值已經超過1萬億美元了
[320.8 - 322.0] 那之前在直播的時候
[322.0 - 323.9] 其實我也很多次跟朋友們分享
[323.9 - 326.1] 某一個看似突兀的信息
[326.1 - 327.3] 突然被報導
[327.3 - 328.8] 它絕不是偶然
[328.8 - 330.1] 那如果在我來看的話
[330.1 - 332.2] 這個新聞其實就是想跟全世界
[332.2 - 334.2] 去做一個很赤裸的表達
[334.2 - 336.7] 就是我擁有全球最多的黃金
[336.7 - 339.4] 所以定價權控制權在我手裡
[339.4 - 341.0] 那之前我们也跟大家分享过
[341.0 - 343.8] 因为他拥有全球最多的黄金储备
[343.8 - 346.8] 所以他自己有的最多的东西
[346.8 - 350.2] 他不可能让他或者是说放任他不值钱的
[350.2 - 352.7] 但他明确了我拥有的最多
[352.7 - 354.3] 我拥有话语圈
[354.3 - 357.4] 所以我可以让他上涨
[357.4 - 360.9] 我也可以让他在一个阶段下跌
[360.9 - 363.5] 那现在这个阶段其实就是
[363.5 - 365.5] 刚才我们前面所跟大家分享的
[365.5 - 367.8] 他要进一步的强化美元
[367.8 - 370.6] 以及不能让黄金的重要性强过美元
[371.0 - 374.6] 要让更多的国家重新回到要储备
[374.8 - 378.4] 使用结算交易用美元的这个轨道上来
[378.4 - 380.2] 那我们试想一下 如果没有尾的事情
[380.2 - 381.2] 没有E的事情
[381.2 - 382.2] 全球的很多国家
[382.2 - 386.2] 凭什么突然要增加对于美元的需求呢
[386.6 - 388.0] 不合理 也没有理由
[388.0 - 389.8] 另外这两天还有一个信息就是
[390.2 - 392.6] 美国要重新回到伊拉克
[393.0 - 396.6] 去帮他建立一个绕过霍尔木斯海峡
[396.6 - 400.0] 通过跟叙利亚之间的石油管道运输
[400.0 - 402.7] 提升伊拉克的石油出口的项目
[402.7 - 404.3] 那这个管道其实之前就有
[404.3 - 405.8] 但是已经非常旧了
[405.8 - 407.0] 而且多年没有使用
[407.0 - 409.6] 那接下来要重建并且有新修
[409.6 - 411.0] 而值得注意的是
[411.0 - 415.5] 雪佛龙早就已经开始跟伊拉克进行沟通了
[415.5 - 416.6] 好那作为交换
[416.6 - 420.6] 美接下来在9月份的时候会从伊拉克撤军
[420.6 - 423.0] 那这件事情也就意味着
[423.0 - 426.6] 接下来伊拉克也要重新回到石油美元体系
[426.6 - 428.6] 所以我们应该也就更清晰了
[428.6 - 431.6] 现在中东的事情在短期是不能停的
[431.6 - 434.6] 或者是说美也不会让它就这么停的
[434.6 - 435.6] 那大家应该也能感受到
[435.6 - 438.6] 最近其实美就是在利用
[438.6 - 441.6] 一 回击中东其他的这些阿拉伯国家
[441.6 - 444.6] 让他们之间的矛盾比之前更深刻
[444.6 - 448.6] 那接下来其实就是希望能够进一步的去孤立一
[448.6 - 451.6] 与此同时 在周边的这些国家
[451.6 - 453.6] 它一方面继续在卖武器
[453.6 - 454.6] 而通过各种的分化
[454.6 - 457.8] 让中东这个地方互相之间很难团结
[457.8 - 459.6] 与此同时目标就是要拿下
[459.6 - 463.2] 对于中东更多的石油话语权和影响力
[463.2 - 465.0] 大家应该还记得前段时间
[465.0 - 467.0] 欧派克阿联酋从中退出了
[467.0 - 469.4] 后来说伊拉克也有想法退出
[469.4 - 470.6] 虽然伊拉克否认了
[470.6 - 475.3] 但他说了我要求接下来提高我的石油产量
[475.3 - 476.6] 所以其实对于美来说
[476.6 - 479.7] 一个不够团结的一个大家之间
[479.7 - 483.5] 有竞争的欧派克组织是美所希望看到的
[483.5 - 485.3] 当然为了分化大家
[485.3 - 487.0] 那肯定也会分别给好处
[487.0 - 488.7] 比如对于阿联酋就是
[488.7 - 490.8] 你之前特别想要的
[491.0 - 492.2] AI先进的芯片
[492.4 - 492.9] 我给你
[492.9 - 495.4] 比如你想投资美国更多的
[495.4 - 496.9] 有潜力的科技公司
[496.9 - 497.5] 我同意
[497.5 - 498.5] 那像对于沙特
[498.8 - 500.5] 最近他跟野门的胡塞武装
[500.5 - 501.5] 冲突又起来了
[501.6 - 503.2] 而以色列在这个时候跳出来了
[503.2 - 503.8] 说
[504.2 - 505.0] 我愿意支持
[505.2 - 506.0] 与此同时
[506.0 - 507.6] 我们愿意跟沙特
[507.6 - 509.3] 进行更直接的对话
[510.0 - 512.0] 这在以前都是非常难想象的
[512.0 - 513.2] 好 最后我们说回来
[513.2 - 514.4] 折腾了一大圈
[514.4 - 515.6] 从去年到现在
[515.6 - 517.8] 原油的价格是有一定的上涨
[517.8 - 518.6] 但基本可控
[518.6 - 521.0] 而黄金大大的被打压
[521.0 - 522.1] 与此同时
[522.1 - 523.8] 美元不断的走高
[523.8 - 525.6] 并且有了显著的恢复
[525.6 - 527.8] 所以这不是什么简单的地缘战争
[527.8 - 530.2] 这就是金融战加能源战
[530.2 - 532.6] 核心目的就是要重塑美元
[532.6 - 534.5] 那其实我们在去年11月
[534.5 - 536.8] 和12月31号这两个视频
[536.8 - 538.7] 其实已经对接下来
[538.7 - 540.5] 美对黄金的思路
[540.5 - 541.8] 说的很清楚了
[541.8 - 543.0] 一直在跟大家说
[543.0 - 545.7] 不要对黄金有任何的投机心理
[546.1 - 547.7] 如果你是有些闲钱
[547.7 - 551.2] 你就把它当做一个非常非常长期的投资就好了
[551.2 - 553.0] 不管是黄金还是原油
[553.0 - 554.1] 我们之前就说过
[554.1 - 556.1] 这是大宗玩家的游戏
[556.5 - 559.1] 他们拥有最庞大的数据
[559.1 - 560.7] 最敏感的信息变化
[560.7 - 563.2] 那与此同时之前这个视频我们也跟大家分享了
[563.6 - 564.8] 现在和接下来
[565.0 - 567.1] 大家的对手盘是机器人
[567.4 - 569.0] 是不睡觉的机器人
[569.0 - 571.2] 是可以不断进化的机器人
[571.2 - 572.4] 而且卧实的思路
[572.4 - 574.4] 我相信大家应该已经很清楚了
[574.4 - 578.0] 我们接下来要面对的就是越来越多的不确定性
[578.0 - 581.8] 这么多年以来大家对于黄金的共识其实是避险资产
[581.8 - 584.6] 但现在似乎它成了一个风险资产
[584.6 - 587.6] 在我来看这种说法有一定的道理但并不准确
[587.6 - 590.6] 之所以现在黄金的情况打破了大家传统的认知
[590.6 - 593.4] 很重要的一个原因就是这几十年以来
[593.4 - 597.4] 一直没有一场战争是跟石油密切相关
[597.4 - 598.8] 并且可以影响全球的
[598.8 - 601.6] 而当这场中东的事件来了以后大家发现
[601.6 - 603.6] 流动性其实是最重要的
[603.6 - 604.8] 黄金本来就不生息
[604.8 - 608.0] 而当全世界的很多国家都希望能够更快的
[608.0 - 609.8] 去买到石油天然气的时候
[610.0 - 613.2] 黄金又不是那个最佳的支付方式
[613.2 - 614.0] 很难变现
[614.0 - 615.1] 所以在这样的情况下
[615.1 - 617.4] 什么货币能够拥有很强的流动性
[617.5 - 619.0] 大家认知的共识
[619.0 - 621.8] 以及非常便捷的支付清算结算
[622.0 - 623.2] 就尤为重要了
[623.2 - 624.1] 那还是那句话
[624.1 - 626.0] 这是一场被包装成战争的
[626.0 - 627.2] 能源战加金融战
[627.2 - 630.2] 背后的重要推手是五角大楼加华尔街
[630.2 - 633.8] 而其中重要的穿线者是卧室加贝森特
[633.8 - 637.4] 当然在这个过程中还要推进的就是加密货币和稳定币的发展了
[637.4 - 639.4] 在重塑美元体系之后
[639.4 - 644.0] 才能真正去推进弱美元但强势美元逻辑的真正落地
