[0.0 - 2.5] 为了让朋友们能够更加清晰地理解
[321.6 - 323.3] 以及境外的直接投资
[323.5 - 324.5] 也是在这个阶段
[324.5 - 327.4] 日元贬值到了数十年以来的最低点
[327.6 - 329.9] 它也由此成为美元体系的
[329.9 - 331.1] 负蓄水池
[331.1 - 333.0] 以及避险的调节法
[333.0 - 334.7] 怎么理解这两个概念
[335.1 - 336.2] 负蓄水池
[336.2 - 338.2] 也就是流动性的补充
[338.2 - 339.1] 22年到23年
[339.1 - 340.5] 美联储加息说表
[340.6 - 344.0] 他试图抽走全球的美元流动性
[344.0 - 346.2] 从而去遏制美国国内的通胀
[346.2 - 347.2] 而在这个时候
[347.2 - 349.0] 日本的央行不仅不加息
[349.0 - 351.9] 它还通过印钞去购买大量的
[351.9 - 353.4] 日本的国债以及ETF
[353.4 - 356.0] 那这就是要维持它的外CC政策
[356.0 - 357.2] 而这些印出来的日元
[357.4 - 359.3] 通过套利交易被卖出
[359.3 - 362.1] 转化成美元流向了美股
[362.1 - 364.1] 美债以及重要的科技股
[364.1 - 365.4] 所以这也就意味着
[365.4 - 367.2] 日本央行充当了美联储
[367.2 - 368.8] 在紧缩政策下的
[368.8 - 370.4] 流动性负蓄水池
[370.4 - 373.2] 它源源不断释放的低成本的日元资金
[373.2 - 376.8] 其实是对冲了美联储在缩表情况下
[376.8 - 378.4] 造成的流动性紧缩
[378.4 - 380.8] 从而最重要的就是支撑了
[380.8 - 383.9] 美股在加息周期中的依旧上涨
[383.9 - 386.3] 好 接下来怎么理解避险调节法
[386.3 - 388.3] 当市场风险偏好高
[388.3 - 390.6] 那么就会大量的去借日元
[390.6 - 392.7] 买高收益的美元资产
[392.7 - 395.5] 压低日元 推高全球资产价格
[395.5 - 397.4] 而当市场风险偏好低
[397.4 - 400.4] 或者每日之间的利差缩小的时候
[400.4 - 403.0] 那么套利交易就要被迫大平仓
[403.0 - 407.0] 投资者就要卖美元买回日元进行还债
[407.0 - 409.2] 我们知道在2024年8月前后
[409.2 - 412.2] 当时日元对美元的汇率几天
[412.2 - 414.8] 从161到了141
[414.8 - 418.3] 而这连锁反应就引爆了全球的流动性挤兑
[418.3 - 421.5] 日经二五单天就暴跌了12.4%
[421.5 - 424.8] 这也是创了1987年黑色星期一以来
[424.8 - 426.0] 最大的单日跌幅
[426.0 - 428.6] 每股科技股以及全球高风险资产
[428.6 - 430.7] 随之也发生了剧烈的震荡
[430.7 - 433.3] 好 那理解了前面这几个发展的重要阶段
[433.3 - 434.9] 我们再做一下整体的总结
[434.9 - 436.3] 日元是影子美元
[436.3 - 438.1] 第一个维度其实是资金的维度
[438.1 - 440.4] 它是全球金融体系中
[440.4 - 442.5] 低息杠杆的重要水龙头
[442.5 - 446.0] 也就是说市场上大量流动的这些美元资产
[446.0 - 449.2] 其实再往底层很重要的一部分
[449.2 - 451.2] 就是这些高杠杆的日元
[451.2 - 454.7] 日元逐渐成为了美元在全球资本扩张的
[454.7 - 456.6] 流动性的放大器
[456.6 - 459.7] 好 第二个维度是资产以及地缘的维度
[459.7 - 461.9] 它是美债最大的海外持有者
[461.9 - 463.7] 现在1.14万亿美元
[463.7 - 467.3] 它也是美债最大的海外电款人
[467.3 - 469.9] 日本通过贸易顺差积累了大量的美元
[469.9 - 472.9] 然后又用这些美元去购买美国国債
[472.9 - 474.7] 所以日本的超额储蓄
[474.7 - 477.1] 其实是在为美国的财政赤字
[477.1 - 480.5] 以及美元的全球霸权在进行买单的
[480.5 - 482.5] 好 第三个维度是政策的维度
[482.5 - 486.9] 它其实是美联储相关货币政策的那个副手
[486.9 - 492.6] 日本央行的货币政策其实是极大程度受美联储的货币政策所制约的
[492.6 - 494.2] 如果美联储加息
[494.2 - 496.1] 日本央行不跟进的话
[496.1 - 499.1] 那么日元就会面临大幅的贬值
[499.1 - 501.8] 而如果日本跟美国不沟通好
[501.8 - 503.6] 自己去选择加息的话
[503.6 - 506.4] 那么就会引发全球套利资金回流
[506.4 - 509.0] 刺破本国以及美国资产的泡沫
[509.0 - 510.1] 所以在历史上
[510.1 - 512.0] 不管是98年的金融危机
[512.0 - 513.8] 还是08年的次贷危机
[513.8 - 515.6] 日本央行其实都配合美联储
[515.6 - 516.8] 提供流动性互换
[516.8 - 518.4] 从而充当了美联储在亚洲
[518.4 - 520.0] 以及全球金融市场
[520.0 - 522.1] 刺激流动性的供应商
[522.1 - 523.3] 好 最后一个维度
[523.3 - 525.5] 是贸易以及结算的维度
[525.5 - 528.3] 也就是对外投资的美元化循环
[528.3 - 529.5] 我们知道日元
[529.5 - 531.7] 在整个国际结算体系中
[531.7 - 532.8] 现在排名第四
[533.0 - 534.5] 但整体比例不高
[534.5 - 536.4] 也就是大概3% 4%
[536.4 - 537.6] 而日本企业在海外
[537.6 - 539.1] 庞大的产业链以及投资
[539.1 - 541.5] 主要都是用美元去进行计价
[541.5 - 542.3] 以及结算的
[542.3 - 544.4] 日本通过海外投资所赚取的外汇
[544.4 - 547.6] 并没有大量的转化为对日元本币的需求
[547.6 - 549.9] 而是直接留存在了美元循环体系中
[549.9 - 551.9] 日元在海外的实质扩张
[551.9 - 555.4] 其实最终都转化为美元流动性的一部分
[555.4 - 556.3] 好 听完以上
[556.3 - 557.4] 相信朋友们可以理解
[557.4 - 558.4] 通过这么多年
[558.4 - 561.2] 美国一点一点把日元打造为
[561.2 - 564.0] 整个美元体系中的重要杠杆
[564.0 - 566.5] 以及资本回流的中转站
[566.5 - 568.7] 日元看似是一个独立的法定货币
[568.7 - 571.4] 但在全球这些对冲基金
[571.4 - 573.7] 以及跨国资本财团的眼中
[573.7 - 577.6] 它更像是一个标价为日元的美元低息融资工具
[577.6 - 580.9] 所以每当美国政府不管是出手折腾日元
[580.9 - 582.2] 还是支撑日元
[582.4 - 587.1] 背后其实都是在支撑美元以及整体的美元体系
[587.1 - 588.3] 好 理解了这个视频之后
[588.3 - 589.8] 再去看前面的三个视频
[589.8 - 592.3] 相信朋友们应该可以有更多的一些感悟
