[0.0 - 3.1] 为什么这两天美国即使响但也不能打伊朗?
[211.7 - 214.2] 以及货币贬值问题的解决
[214.2 - 216.5] 难度又会重新来过的
[216.5 - 219.3] 所以对于美国来说当下是一个非常无奈之举
[219.3 - 221.0] 可能会有朋友问说
[221.0 - 225.2] 日本的重要性比他解决自己在中东还重要吗
[225.2 - 228.0] 如果大家可以看一下前面这条视频
[228.0 - 229.3] 可能你就会更理解
[229.3 - 231.7] 为什么不得不去帮助日本了
[231.7 - 233.4] 所以这就是为什么我们看到
[233.4 - 235.9] 在当下美国要跟伊朗聊的是
[235.9 - 237.7] 你要先把霍尔木斯海峡开放
[237.7 - 239.4] 而核的问题的沟通
[239.4 - 240.9] 可以先暂时往后放
[240.9 - 242.0] 所以也就是基于此
[242.0 - 242.7] 对于美国来说
[242.7 - 244.7] 当下不得不先选择
[244.7 - 246.5] 把日元的汇率稳住
[246.5 - 249.4] 起码在接下来的一段时间要实现
[249.4 - 252.3] 不仅不能让美日花的这数百亿美元
[252.3 - 253.1] 就这么打了水平
[253.1 - 255.4] 而更重要的是要维护美国财政部
[255.4 - 256.8] 以及美国货币当局
[256.8 - 259.5] 對於整個全球金融的影響力
