[0.0 - 4.1] 前面的这十几天,我们的海关总署、央行以及国家统计局
[113.4 - 116.2] 以及传播也是显著增长13.6%
[116.2 - 119.4] 另外专用设备制造增长12.6%
[120.2 - 123.0] 刚才前面也说了部分企业是经营困难的
[123.0 - 127.2] 这其实就主要反映在传统原材料与一些重工业上
[127.2 - 129.2] 煤炭开采下降10.8%
[129.5 - 132.8] 和房地产行业密切相关的非金属矿物制品业
[132.8 - 136.1] 比如说像水泥建材这类下降3.3%
[136.1 - 138.8] 从摄融数据中起事业端的
[138.8 - 140.8] 信贷数据其实也可以佐证这一点
[140.8 - 143.0] 7月份起事业的短期贷款
[143.0 - 147.4] 也就是像用于日常经营买原材料减少了2500亿
[147.4 - 151.0] 中长期贷款就是用于一些扩大再生产等等
[151.0 - 152.4] 减少了2300亿
[152.4 - 155.6] 这其实就反映着传统的制造业基建等
[155.6 - 158.6] 固定资产投资的增速依旧是比较偏弱的
[158.6 - 159.8] 好 接下来第三部分
[159.8 - 161.3] 我们就是要说房地产了
[161.6 - 165.8] 1到7月份房地产投资同比下降19.2%
[165.8 - 168.4] 降幅不管是跟去年同期相比
[168.4 - 170.7] 还是跟前面1到6月份相比
[170.7 - 172.0] 都是继续在扩大的
[172.0 - 174.3] 另外1到7月份房企资金到位
[174.3 - 175.8] 同比下降20%
[175.8 - 177.2] 也是在进一步的扩大的
[177.2 - 179.3] 这其实也反映出房地产企业
[179.3 - 181.4] 相关的资金压力依旧是比较大的
[181.4 - 183.6] 企业不管是拿地还是新开工的意愿
[183.6 - 184.6] 也比较低
[184.6 - 185.9] 所以在这个链条上
[185.9 - 188.7] 不管是水泥 钢铁 工程机械
[188.7 - 191.4] 这些行业都是会受到比较直接的冲击的
[191.4 - 192.7] 在这我们也说一下
[192.7 - 194.7] 七市城房价的情况
[194.7 - 196.8] 重点看一下二手房的同比
[196.8 - 199.1] 不管是一线 二线 三线城市
[199.1 - 201.3] 同比依旧是在下降中
[201.3 - 205.4] 不过好一点的消息就是降服都是有一定的收窄的
[205.4 - 209.0] 北上广深一线这几个比较重要的代表城市
[209.0 - 211.7] 降服收窄都在1%以上
[211.7 - 212.9] 跟房地产的情况相关
[212.9 - 215.2] 我们也看一下7月份涉容数据中
[215.2 - 217.7] 居民的中长期贷款的情况
[217.7 - 222.3] 7月份居民的中长期贷款减少1202亿
[222.3 - 225.5] 跟去年同期相比多减了102亿
[225.5 - 228.5] 这其实也就反映出居民现在在购房上的意愿
[228.5 - 229.7] 并不是十分强烈
[229.7 - 232.8] 与此同时还是在进一步的提前还贷中
[232.8 - 235.4] 好 最后我们就说说共强虚弱中
[235.4 - 236.9] 虚弱的这一部分了
[236.9 - 240.8] 社会消费品零售总额的增速同比增长0.6%
[241.0 - 243.5] 跟前值以及跟去年同期相比
[243.5 - 244.9] 增速都是在下降的
[244.9 - 246.4] 好 我们来看一下里面的细项
[246.4 - 250.5] 首先通讯器材同比大幅增长20.4%
[250.5 - 251.6] 排名第一位
[251.6 - 253.6] 这一方面反映出大家对于像
[253.6 - 257.6] 手机等电子产品的更新换代需求依然是在的
[257.6 - 262.1] 另外一方面其实也是受到上游芯片以及电子元器件涨价的影响
[262.1 - 264.1] 再看看烟酒增长6%
[264.1 - 266.5] 粮油食品增长5.3%
[266.5 - 268.9] 所以我们看到这些对于大家刚需的
[268.9 - 272.1] 以及对于一部分人偏刚需的这类消费品
[272.1 - 274.0] 依旧是比较有韧性的增长的
[274.0 - 277.6] 另外中西药品消费增长6.7%
[277.6 - 280.9] 一方面这确实是对于一部分人是刚需的消费
[280.9 - 285.7] 另外其实也反映出老年人人口比例是在一定的增长
[285.7 - 289.2] 所以对于像慢性病的管理以及日常保健用药
[289.2 - 290.7] 也就随之增长了
[290.7 - 293.5] 另外还有一小部分原因就是都说现在的年轻人
[293.5 - 294.8] 越来越关爱自己
[294.8 - 296.7] 更加关注自己的身体健康了
[296.7 - 299.3] 所以其实他们也贡献了一小部分
[299.3 - 301.4] 保健品以及相关的用药
[301.4 - 304.5] 好在消费中起到比较明显的下拉作用的
[304.5 - 307.2] 第一汽车类同比下降17%
[307.2 - 310.1] 这个跟我们前两天成年会公布的7月份
[310.1 - 312.2] 乘用车零售140万辆
[312.2 - 315.4] 同比下降20.9%也是比较吻合的
[315.4 - 316.7] 那汽车消费的下降
[316.7 - 318.5] 在我理解两个比较重要的原因
[318.5 - 322.1] 第一就是受燃油车零售数据下拉的影响
[322.1 - 324.6] 7月份同比下降41%
[324.6 - 326.1] 第二就是我们相关部门
[326.1 - 329.3] 一直持续在推进的就是反内卷竞争
[329.3 - 332.6] 那汽车中端价格占降温以后
[332.6 - 336.9] 这些消费者们还是会选择一段时间的观望的
[336.9 - 340.1] 好 接下来金银珠宝类消费同比下降10.1%
[340.1 - 344.1] 这主要就是跟国际金价波动剧烈直接相关了
[344.1 - 347.1] 再接下来加剧同地下降8.8%
[347.1 - 349.8] 这其实就是跟当前房地产行业的实际情况
[349.8 - 352.4] 以及大家的购房意愿直接相关了
[352.4 - 357.0] 在这我们再看一下7月份居民端短期贷款的情况
[357.3 - 358.9] 减少了3400亿
[358.9 - 362.6] 跟去年同期相比多减了将近430亿
[362.6 - 366.1] 也就是说大家贷款消费的意愿不是很明显
[366.1 - 371.5] 而且也在提前去还自己之前的相关短期借贷的资金
[371.5 - 374.5] 比如说提前去还信用卡花呗等等
[374.5 - 377.7] 那这其实也就反映着居民降杠杆的延续状态
[377.7 - 380.1] 好那一些重点的数据分析就是以上了
[380.1 - 381.6] 我们整体总结一下
[381.6 - 385.1] 首先非常明显的新旧动能交替期
[385.1 - 386.9] 以及初清的振通期
[386.9 - 392.0] 外贸和高端制造构成了当前我们经济非常重要的硬底座
[392.0 - 395.2] 那他们保证着我们当前经济整体比较稳定的状态
[395.2 - 398.4] 第二房地产行业的深度去杠杆以及去库存
[398.4 - 400.6] 确实会对一部分的上游制造业
[400.6 - 405.0] 以及居民的资产负债表起到持续的传导作用
[405.0 - 408.5] 而这也就会比较直接的影响到居民端的消费意愿了
[408.5 - 411.3] 好 那在这儿我们说两个比较新的政策
[411.3 - 415.8] 第一就是昨天九部门发文关于活跃限于消费
[415.8 - 418.3] 根据数据 今年前七个月
[418.3 - 421.6] 乡村消费已经连续55个月
[421.6 - 423.2] 快于城镇消费了
[423.2 - 425.9] 而且现乡消费占整个社灵
[425.9 - 428.3] 消费比重已经超过39%了
[428.3 - 430.0] 这个新的意见稿的出台
[430.0 - 433.4] 其实也是希望能够进一步的去激活
[433.4 - 434.9] 下沉消费市场的活力
[434.9 - 436.7] 另外就是从9月下旬
[436.7 - 439.9] 要实行住房公积金管理条例的新政策
[439.9 - 441.9] 那比较显著的变化就是第一
[441.9 - 444.1] 装修物业费以后都可以提取了
[444.1 - 445.7] 再有就是租房提取
[445.7 - 447.5] 不再有收入比例的门槛了
[447.5 - 449.3] 与此同时个体工商户
[449.3 - 452.3] 以及外卖起手等灵活就业人员
[452.3 - 454.1] 以后也可以自行去交存
[454.1 - 455.2] 所以这个新的条例
[455.2 - 457.6] 其实也是希望能够把住房公积金
[457.6 - 460.1] 使用的場景以及人群進行擴展
[460.1 - 462.3] 那這其實也是希望能夠從另外一個層面
[462.3 - 465.4] 對當前的房地產市場形成一定的支撐
[465.4 - 466.1] 好第三
[466.1 - 468.6] 我們當前的外貿確實是非常亮眼的
[468.6 - 469.7] 那在我理解
[469.7 - 473.2] 我們也要考慮到未來有可能的一個新的狀態
[473.2 - 476.2] 就是地緣衝突的越來越多的不確定性
[476.2 - 479.2] 所以當下其實最現實也是最迫切
[479.2 - 481.0] 需要去推進解決的
[481.0 - 483.1] 就是國內有效需求不足的問題
[483.1 - 485.5] 出口尤其是高端製造業的出口
[485.5 - 488.5] 确实是拉动了国内一部分的生产发展
[488.5 - 490.1] 但暂时还不能完全弥补
[490.1 - 492.2] 由于像这些传统行业
[492.4 - 494.5] 房地产行业在出清过程中
[494.5 - 495.9] 所形成的缺口
[495.9 - 498.9] 而它跟消费之间的连接是分不开的
[499.1 - 500.9] 其实从去年下半年
[501.1 - 503.0] 我就多次在视频中分享
[503.0 - 505.2] 我的想法就是扩大内需克不容缓
[505.2 - 507.5] 当内循环的读点可以有效的打通
[507.5 - 510.1] 即使外部的压力不断增加
[510.1 - 512.0] 我们自己也可以形成良性的运转
[512.0 - 514.7] 这对于我们整体经济的平稳发展
[514.7 - 515.9] 是非常重要的
[515.9 - 517.3] 那统计局的表述是
[517.3 - 519.4] 下阶段加大逆周期的调节利率
[519.4 - 521.5] 那我理解一方面应该是会加大
[521.5 - 523.1] 政府债券的发行投放
[523.1 - 525.6] 以及针对于房地产消费方面的
[525.6 - 526.4] 专项政策
