[0.0 - 4.0] 最近这段时间,全球AI资本市场的发展让我有一丝不安。
[225.6 - 227.4] 那一切相安无恙
[227.4 - 230.4] 但如果AI发展放缓甚至进入寒冬
[230.4 - 233.9] 那么下游的这些企业可就要进入违约
[233.9 - 235.8] 甚至违约爆发的状态了
[235.8 - 237.0] 那么对于英伟达来说
[237.0 - 240.2] 不仅要面对新增订单断崖式下跌
[240.2 - 243.6] 另外就是还要面对履约兜底的现金流抽血
[243.6 - 245.9] 那么这种双重的打击就会极大的冲击
[245.9 - 247.5] 英伟达自身的现金流了
[247.5 - 249.7] 最后过去市场给英伟达高估值
[249.7 - 252.3] 是因为这家公司是一个净现金流
[252.3 - 256.2] 高毛利以及零债务的科技轻资产卖房
[256.2 - 258.8] 如果它的残值兜底这场口越来越大
[258.8 - 261.5] 那么这家公司就会越来越多的
[261.5 - 264.7] 向重资产金融保险机构去倾斜了
[264.7 - 267.0] 接下来不排除市场给它的估值
[267.0 - 268.0] 就会缩水了
[268.0 - 269.0] 好 说到这儿
[269.0 - 271.7] 不知道朋友们会不会有人联想到
[271.7 - 272.9] 08年的次贷危机
[272.9 - 276.0] 当时华尔街将低质量的住房贷款
[276.0 - 277.5] 打包成MBS
[277.5 - 280.1] 然后配上高杠杆卖给全球的投资者
[280.1 - 283.0] 房企购房者不断的在加杠杆
[283.0 - 285.9] 这一次是把GPU和数据中心
[285.9 - 289.0] 包装成可融资的AI基础设施资产
[289.0 - 292.5] 然后通过杠杆把未来的钱提到现在
[292.5 - 294.6] 卖芯片有了好财报
[294.6 - 297.6] 然后资金流向促成更多的融资
[297.6 - 300.5] 从而形成了杠杆推动的自我循环
[300.5 - 302.3] 第二当时MBS的逻辑就是
[302.3 - 304.0] 美国的房子一直会上涨
[304.0 - 307.0] 而房子也可以随时被卖掉进行抵债
[307.0 - 308.6] 而当下假设的是
[308.6 - 310.6] GPU的算力永远稀缺
[310.6 - 313.0] 并且可以持续产生现金流
[313.0 - 314.8] 基于英伟达的库达生态
[314.8 - 316.3] 硬件是有通用性的
[316.3 - 318.8] 即使违约了也可以转租给别人
[318.8 - 321.2] 但是商业化落地不及预期的话
[321.2 - 323.7] 那么算力的需求就会断崖式下跌
[323.7 - 325.4] 易获下一代芯片的出现
[325.4 - 327.9] 导致上一代芯片加速贬值
[327.9 - 330.0] 那么这套资产保值假设的说法
[330.0 - 331.2] 其实就不成立了
[331.2 - 331.8] 第三
[331.8 - 335.7] 我借钱给买家来买我的东西的这种模式
[335.7 - 338.5] 其实是在历史上多次引发过危机的
[338.5 - 341.4] 比如当时思科提供巨额的贡商融资
[341.4 - 343.6] 最终由于网络公司的破产
[343.6 - 345.6] 引发了数十亿美元的坏账
[345.6 - 347.0] 所以现在这件事情
[347.0 - 349.0] 有几个非常明显的风险点
[349.0 - 349.8] 第一就是
[349.8 - 351.0] 初创公司的违约
[351.0 - 352.2] 租借GPU的企业
[352.2 - 353.7] 没有办法获得预期的收入
[353.7 - 355.7] 那么就没有办法继续付钱了
[355.7 - 356.1] 第二
[356.1 - 357.2] 这些金融机构
[357.2 - 359.2] AI专项债务基金
[359.2 - 360.9] 出现违约或者坏账
[360.9 - 362.0] 基金收益率暴跌
[362.0 - 363.6] 那部分盲目跟风的
[363.6 - 365.4] 私人信贷资本就会被套牢
[365.4 - 365.8] 第三
[365.8 - 367.8] 违约设备被清算抛售
[367.8 - 369.1] 算力租金暴跌
[369.1 - 369.7] 这就导致
[369.7 - 370.9] 英伟达所承诺的
[370.9 - 372.5] 的残值保护被触发
[372.7 - 375.2] 这就会引发英伟达自身的损失了
[375.2 - 377.0] 最后市场算力严重过剩
[377.2 - 379.5] 英伟达新的芯片销售停滞
[379.5 - 382.1] 科技股挤泡沫估值大幅回调
[382.1 - 384.4] 所以这一次他们合作的这5000
[384.4 - 385.7] 亿美元的融资平台
[385.8 - 387.5] 更像是一个放大器
[387.5 - 389.1] 如果AI落地顺利
[389.1 - 390.8] 那么它就是一个加速器
[390.9 - 392.8] 如果AI落地不及预期
[392.8 - 395.0] 那么它就会成为加速科技股泡沫
[395.0 - 398.7] 破裂和私人信贷市场洗牌的那个杠杆
[398.7 - 400.1] 好 那到这里结束了吗
[400.1 - 400.9] 並沒有
[400.9 - 402.6] 英偉達到底想幹什麼
[402.6 - 403.7] 先說結論
[403.7 - 406.8] 在我理解他想做AI的央行行長
[406.8 - 410.0] 如果我們把央行和英偉達做一個類比的話
[410.0 - 413.0] 會發現英偉達正在一步一步復刻
[413.0 - 416.0] 央行調控宏觀經濟的核心職能
[416.0 - 419.3] 他試圖想把自己打造成為算力貨幣的發行者
[419.3 - 421.6] 調控者以及終極借貸人
[421.6 - 424.3] 央行印法幣作為整個商業世界
[424.3 - 426.4] 信用擴張以及交易的基礎
[426.4 - 429.2] 英偉達生產並供應GPU的算力
[429.2 - 432.7] 现在他要做的是不仅让GPU是一个硬件
[433.0 - 436.1] 而且还是一个被包装成可以质押融资
[436.3 - 440.4] 并且产生长期现金流的升息基础资产
[440.4 - 444.4] 第二 央行通过利率和准备金调控流动性的分配
[444.7 - 447.6] 英伟达是想通过他的枯大生态和架构
[447.8 - 450.7] 去定义算力的标准以及通用性
[450.9 - 452.4] 他要通过这种标准化
[452.4 - 455.2] 让算力可以像流动性的资金一样
[455.2 - 458.8] 在不同的大模型公司以及云服务商之间
[458.8 - 460.1] 流转以及清算
[460.1 - 462.1] 第三央行通过公开市场操作
[462.1 - 463.5] 与商业银行合作
[463.5 - 465.4] 向市场投放流动性
[465.4 - 467.4] 那英伟达跟这六个机构合作
[467.4 - 468.5] 搭这么一个平台
[468.5 - 471.3] 相当于给AI这个行业
[471.3 - 473.1] 建了一个贴线窗口
[473.1 - 474.6] 对于那些现金流紧张
[474.6 - 476.1] 但是需要算力的企业
[476.1 - 478.4] 定向降准投放信贷
[478.4 - 480.6] 最后当发生流动性危机的时候
[480.6 - 483.2] 央行会对这些金融机构
[483.2 - 485.4] 实行兜底以及再贷款支持
[485.4 - 487.9] 而现在英伟达也是在模仿
[487.9 - 489.0] 这一运作机制
[489.0 - 491.6] 好 这是我理解的英伟达的野心
[491.6 - 493.6] 如果他真的能够做稳
[493.6 - 495.1] AI央行的这把交椅
[495.1 - 498.5] 那么他将不再是一个单纯的半导体硬件公司
[498.5 - 502.7] 而是整个AI数字时代基础设施的商业发行商
[502.7 - 505.6] 但现实是这套算力央行的体系
[505.6 - 507.6] 其实是有一个致命的软肋的
[507.6 - 510.8] 主权央行的法币是有国家强制力背书的
[510.8 - 513.4] 而英伟达要搭建的算力本位
[513.4 - 516.7] 是完全建立在下游的这些企业
[516.7 - 519.1] 可以持续地赚到钱的基础上
[519.1 - 522.4] 所以如果重要的这些AI应用
[522.4 - 524.2] 没有办法大规模盈利的话
[524.2 - 527.0] 那么这一套华尔街杠杆英伟达
[527.0 - 528.3] 单薄芯片
[528.3 - 530.8] 抵押的新的AI央行的体系
[530.8 - 533.4] 就有可能要面对算力资产大规模
[533.4 - 536.4] 减值流动性收紧的几对风险
[536.4 - 538.6] 好 最后我想稍微说几句
[538.6 - 540.0] 对于我们的一些歧视
[540.0 - 542.3] 第一 打造本土的生态互成和
[542.3 - 543.2] 是至关重要的
[543.2 - 545.4] 不仅要突破硬件的工艺
[545.4 - 548.6] 更要加速推进国产算力软件站的标准化
[548.6 - 553.0] 要重点去解决的就是资产没有办法通用流转的问题
[553.0 - 556.7] 第二要加速去探索算力金融的中国模式
[556.7 - 559.8] 那在我理解重点是算力质押融资机制
[559.8 - 563.2] 第三我理解我们更多的优势其实是AI的应用
[563.2 - 566.6] 所以应该更多的以真实场景的商业化闭环
[566.6 - 569.0] 来消化算力的产能
[569.0 - 572.2] 以此尽可能的降低潜在的泡沫化风险
[572.2 - 577.9] 最后英伟达其实要推进的是芯片软件以及金融杠杆的三维一体地环
[577.9 - 579.6] 这不仅是要技术垄断
[579.6 - 582.3] 更多的其实是科技和华尔街的金融资本
[582.3 - 585.6] 深度绑定的全球AI基础设施的控制力
[585.6 - 590.6] 对于我们来说就要加速去推进建设自主可控的国产算力底座
[590.6 - 593.2] 在像带路国家以及金砖国家之内
[593.2 - 597.2] 推动基于国产算力构架的AI产品以及服务
[597.2 - 600.8] 金融工具确实可以成为AI基建的催化剂
[600.8 - 604.2] 但是它毕竟不能替代核心技术的自主突破
[604.2 - 606.7] 以及AI应用的盈利能力
[606.7 - 610.3] 所以用真实的应用去支撑算力的发展
[610.3 - 612.1] 并且自主可控制路
[612.1 - 616.2] 是应对英伟达用华尔街杠杆加速技术扩散
[616.2 - 618.2] 非常重要的一个主线思路
