[0.0 - 4.2] 这两天财政部公布了7月份的财政收支的两本账。
[193.4 - 194.9] 那我们知道政府性基金
[194.9 - 195.9] 它遵循的是
[196.2 - 197.2] 已收定支
[197.2 - 199.5] 所以收入端的减少也就会直接限制
[199.5 - 201.1] 支出端的发力空间了
[201.1 - 203.5] 那我们也要说一下前面说的这些
[203.5 - 204.8] 同比的下降啊
[204.8 - 205.5] 幅度也不小
[205.5 - 206.7] 基本都是两位数字
[206.7 - 209.3] 但降幅其实是在边际改善的
[209.3 - 209.6] 好
[209.6 - 211.0] 那具体数据分析完之后
[211.0 - 212.3] 我们整体总结一下
[212.3 - 214.8] 首先7月份的财政收入的增长
[214.8 - 217.5] 主要依靠的像新兴产业的发展
[217.5 - 218.7] 资本市场的发展
[218.7 - 220.7] 以及对于一些啊
[220.7 - 222.8] 之前没有收上来的税
[222.8 - 224.2] 进行的相关的补交
[224.2 - 225.4] 那我们知道现在其实是
[225.4 - 227.5] 处于新旧动能的转换期
[227.5 - 229.3] 所以对于地方政府来说
[229.3 - 232.1] 土地财政收入比较明显的减少
[232.1 - 234.8] 对于地方政府要顾及多项支出
[234.8 - 238.1] 而又要优先保障一些刚性支出
[238.1 - 239.8] 其实是有一定的压力的
[239.8 - 241.0] 第二土地财政
[241.0 - 243.4] 尤其是土地出让收入这一部分的下降
[243.4 - 247.8] 在短期其实是比较难靠税收收入的增量
[247.8 - 249.1] 也就是前面说的
[249.1 - 251.3] 税收收入增长11.8%
[251.3 - 252.9] 没有办法完全填补的
[252.9 - 255.6] 所以这两个账本之间的差
[255.6 - 259.2] 就是会拖累广义财政的相对扩张了
[259.2 - 261.7] 好 那第三我们要展望一下第三季度
[261.7 - 263.5] 一个比较积极的信号就是
[263.5 - 266.3] 随着2万亿新增专项债的集中发行
[266.3 - 268.4] 那广义财政支出的增速
[268.4 - 270.8] 有望进入一个上行的区间
[270.8 - 271.9] 那我们也要看两点
[271.9 - 275.1] 第一就是房地产销售是不是逐渐能够回暖
[275.1 - 278.2] 毕竟它直接决定着土地相关的收入
[278.2 - 279.8] 是不是能够进一步的稳住
[279.8 - 282.5] 第二就是政府在化债和发展之间的平衡
[282.5 - 284.4] 因为这会影响下半年
[284.4 - 286.9] 財政是不是能夠更加有效地
[286.9 - 289.1] 傳導到實體經濟的一個關鍵
